,Drug_name,DrugId,Brand_name,Sponsor,Properties,Indication,Indication_curated,Indication_EFO,DiseaseId,TA,Year
146,STIRIPENTOL,CHEMBL1983350,Diacomit,Biocodex,GABA reuptake inhibitor,Dravet syndrome,Dravet syndrome,dravet syndrome,ORDO:33069,,2018
147,CENEGERMIN,CHEMBL4297852,Oxervate,Dompé,Recombinant NGF,Neurotrophic keratitis,keratitis,keratitis,EFO:0009449,,2018
148,LANADELUMAB,CHEMBL3545189,Takhzyro,Dyax/Shire,Kallikrein antibody,Hereditary angioedema,Hereditary angioedema,hereditary angioedema,MONDO:0019623,,2018
149,ERAVACYCLINE,CHEMBL1951095,Xerava,Tetraphase Pharmaceuticals,Tetracycline antibiotic,Complicated intra-abdominal infections,intra-abdominal infections,NA,NA,,2018
150,DORAVIRINE,CHEMBL2364608,Pifeltro,Merck & Co.,NNRTI,HIV,HIV,hiv infection,EFO:0000764,,2018
151,MOXETUMOMAB PASUDOTOX,CHEMBL1743043,Lumoxiti,AstraZeneca,CD22-directed antibody–drug conjugate,Hairy cell leukaemia,leukaemia,hairy cell leukemia,EFO_1000956,,2018
152,FREMANEZUMAB,CHEMBL4297756,Ajovy,Teva,CGRP antibody,Migraine,Migraine,migraine disorder,MONDO:0005277,,2018
153,DUVELISIB,CHEMBL3039502,Copiktra,Verastem,PI3K inhibitor,"CLL, FL and SLL",CLL,chronic lymphocytic leukemia; follicular lymphoma,EFO:0000095; MONDO_0018906,,2018
154,GALCANEZUMAB,CHEMBL3707328,Emgality,Eli Lilly,CGRP antibody,Migraine,Migraine,migraine disorder,MONDO:0005277,,2018
155,DACOMITINIB,CHEMBL2105719,Vizimpro,Pfizer,EGFR inhibitor,EGFR-mutated NSCLC,NSCLC,non-small cell lung carcinoma,EFO:0003060,,2018
156,DACOMITINIB,CHEMBL2110732,Vizimpro,Pfizer,EGFR inhibitor,EGFR-mutated NSCLC,NSCLC,non-small cell lung carcinoma,EFO:0003060,,2018
157,CEMIPLIMAB,CHEMBL4297723,Libtayo,Regeneron/Sanofi,PD1 antibody,CSCC,CSCC,skin squamous cell carcinoma,MONDO_0002529,,2018
158,SARECYCLINE,CHEMBL2364632,Seysara,Allergan,Tetracycline antibiotic,Severe acne vulgaris,acne,acne,EFO:0003894,,2018
159,OMADACYCLINE,CHEMBL1689772,Nuzyra,Paratek Pharmaceuticals,Tetracycline antibiotic,CABP and ABSSSI,bacterial infection,bacterial disease,EFO:0000771,,2018
160,ELAPEGADEMASE,CHEMBL3990026,Revcovi,Leadiant Biosciences,Recombinant adenosine deaminase,ADA-SCID,ADA-SCID,"severe combined immunodeficiency, autosomal recessive, t cell-negative, b cell-negative, nk cell-negative, due to adenosine deaminase deficiency",MONDO:0007064,,2018
161,INOTERSEN,CHEMBL4297770,Tegsedi,Ionis Pharmaceuticals,TTR-directed antisense oligonucleotide,Hereditary TTR-mediated amyloidosis,amyloidosis,hereditary amyloidosis,MONDO_0018634,,2018
162,TALAZOPARIB,CHEMBL3137320,Talzenna,Pfizer,PARP inhibitor,BRCA-mutated HER2-negative breast cancer,breast cancer,HER2 negative breast carcinoma,EFO_0009780,,2018
163,BALOXAVIR MARBOXIL,CHEMBL4297503,Xofluza,Shionogi/Roche,Polymerase acidic endonuclease inhibitor,Acute uncomplicated influenza,influenza,influenza,EFO:0007328,,2018
164,LORLATINIB,CHEMBL3286830,Lorbrena,Pfizer,ALK and ROS1 inhibitor,ALK-positive NSCLC,NSCLC,non-small cell lung carcinoma,EFO:0003060,,2018
165,REVEFENACIN,CHEMBL3833319,Yupelri,Theravance Biopharma/Mylan,Long-acting muscarinic receptor antagonist,COPD,COPD,chronic obstructive pulmonary disease,EFO:0000341,,2018
166,RIFAMYCIN,CHEMBL437765,Aemcolo,Cosmo Technologies,Ansamycin antibacterial,Travellers’ diarrhoea,diarrhoea,diarrhea; diarrheal disease,HP:0002014; MONDO:0001673,,2018
167,EMAPALUMAB,CHEMBL3989977,Gamifant,Novimmune,Interferon-γ-blocking antibody,Primary haemophagocytic lymphohistiocytosis,lymphohistiocytosis,genetic hemophagocytic lymphohistiocytosis,MONDO_0015541,,2018
168,GLASDEGIB,CHEMBL2043437,Daurismo,Pfizer,Hedgehog pathway inhibitor,AML,AML,acute myeloid leukemia,EFO:0000222,,2018
169,LAROTRECTINIB,CHEMBL3889654,Vitrakvi,Loxo Oncology/Bayer,"TRKA, TRKB and TRKC inhibitor",NTRK-positive solid cancers,solid cancers,breast cancer; cholangiocarcinoma,MONDO_0007254; EFO_0005221,,2018
170,GILTERITINIB,CHEMBL3301622,Xospata,Astellas,FLT3 inhibitor,FLT3-positive AML,AML,acute myeloid leukemia,EFO:0000222,,2018
171,AMIFAMPRIDINE,CHEMBL354077,Firdapse,Catalyst Pharmaceuticals,Potassium channel blocker,Lambert-Eaton myasthenic syndrome ,myasthenic syndrome,Congenital myasthenic syndromes,Orphanet_590Orphanet_590,,2018
172,PRUCALOPRIDE,CHEMBL117287,Motegrity,Shire/Takeda,5-HT4 receptor agonist,Chronic idiopathic constipation,constipation,constipation,HP:0002019,,2018
173,CALASPARGASE PEGOL,CHEMBL2108728,Asparlas,Servier,Asparagine specific enzyme,ALL,ALL,acute lymphoblastic leukemia,EFO:0000220,,2018
174,RAVULIZUMAB,CHEMBL3989986,Ultomiris,Alexion,Complement inhibitor,Paroxysmal nocturnal haemoglobinuria,haemoglobinuria,paroxysmal nocturnal hemoglobinuria,MONDO_0100244,,2018
175,TAGRAXOFUSP,CHEMBL4297573,Elzonris,Stemline Therapeutics,IL-3 and diphtheria toxin fusion protein,Blastic plasmacytoid dendritic cell neoplasm,Blastic plasmacytoid dendritic cell neoplasm,blastic plasmacytoid dendritic cell neoplasm,EFO:0010580,,2018
