brandDrugName,originalDrugName,drugName,drugId,sponsor,properties,therapeuticArea,indication,diseaseName,diseaseIds,diseaseClass,reviewType,yearApproval
Epclusa,"Sofosbuvir, velpatasvir","SOFOSBUVIR,VELPATASVIR","CHEMBL1259059,CHEMBL3545062",Gilead Sciences,A nucleotide analogue NS5B polymerase inhibitor plus an HCV NS5A inhibitor,No human target,"genotype 1, 2, 3 or 4 chronic hepatitis C virus (HCV)",hepatitis C virus infection,EFO_0003047,Serious,"P,B,F",2016
Eucrisa,Crisaborole,CRISABOROLE,CHEMBL484785,Pfizer/Anacor Pharmaceuticals,PDE4 inhibitor,Other indication,Atopic dermatitis,atopic eczema,EFO_0000274,Not serious,S,2016
Exondys 51,Eteplirsen,ETEPLIRSEN,CHEMBL2108278,Sarepta Therapeutics,ASO designed to target dystrophin pre-mRNA,Other indication,Duchenne muscular dystrophy,Duchenne muscular dystrophy,MONDO_0010679,Serious,"P,O,A,F",2016
Lartruvo,Olaratumab,OLARATUMAB,CHEMBL1743049,Eli Lilly,PDGFRalpha-blocking antibody,Oncology,Soft tissue sarcoma,soft tissue sarcoma,EFO_1001968,Serious,"P,O,B,A,F",2016
Netspot,Gallium Ga-68 dotatate,GALLIUMGA-68DOTATATE,CHEMBL4297340,Advanced Accelerator Applications,Radioactive diagnostic,Other indication,Neuroendocrine tumours,neuroendocrine neoplasm,EFO_1001901,Serious,"P,O",2016
Nuplazid,Pimavanserin,PIMAVANSERIN,CHEMBL2111101,Acadia Pharmaceuticals,Atypical antipsychotic,Other indication,Hallucinations and delusions associated with Parkinson disease psychosis,Parkinson disease; psychosis,"MONDO_0005180,EFO_0005407",Serious,"P,B",2016
Ocaliva,Obeticholic acid,OBETICHOLICACID,CHEMBL566315,Intercept,FXR agonist,Other indication,Primary biliary cholangitis,primary biliary cirrhosis,EFO_1001486,Serious,"P,O,A,F",2016
Rubraca,Rucaparib,RUCAPARIB,CHEMBL1173055,Clovis Oncology,PARP inhibitor,Oncology,BRCA-positive ovarian cancer,ovarian cancer,MONDO_0008170,Serious,"P,O,B,A",2016
Spinraza,Nusinersen,NUSINERSEN,CHEMBL3301572,Biogen/Ionis Pharmaceuticals,ASO designed to target SMN2 pre-mRNA,Other indication,Spinal muscular atrophy,spinal muscular atrophy,EFO_0008525,Serious,"P,O,F",2016
Taltz,Ixekizumab,IXEKIZUMAB,CHEMBL1743034,Eli Lilly,IL-17A antagonist,Other indication,Plaque psoriasis,psoriasis vulgaris,EFO_1001494,Not serious,S,2016
Tecentriq,Atezolizumab,ATEZOLIZUMAB,CHEMBL3707227,Genentech,PDL1 inhibitor,Oncology,Urothelial carcinoma,urothelial carcinoma,EFO_0008528,Serious,"P,B,A",2016
Venclexta,Venetoclax,VENETOCLAX,CHEMBL3137309,AbbVie,BCL-2 inhibitor,Oncology,Chronic lymphocytic leukaemia,chronic lymphocytic leukemia,EFO_0000095,Serious,"P,O,B,A",2016
Xiidra,Lifitegrast,LIFITEGRAST,CHEMBL2048028,Shire Pharmaceuticals,LFA1 antagonist,Other indication,Dry eye disease,dry eye syndrome,EFO_1000906,Not serious,P,2016
Zepatier,"Elbasvir, grazoprevir","ELBASVIR,GRAZOPREVIR","CHEMBL3039514,CHEMBL2063090",Merck & Co.,NS5A inhibitor plus NS3/4A protease inhibitor,No human target,HCV genotypes 1 and 4,hepatitis C virus infection,EFO_0003047,Serious,"P,B",2016
Zinbryta,Daclizumab,DACLIZUMAB,CHEMBL1201605,Biogen,IL-2-targeted mAb,Other indication,Multiple sclerosis,multiple sclerosis,MONDO_0005301,Serious,S,2016
Zinplava,Bezlotoxumab,BEZLOTOXUMAB,CHEMBL2108670,Merck & Co.,mAb against Clostridium difficile toxin,No human target,C. difficile recurrence,clostridium difficile infection,EFO_0009130,Serious,"P,F",2016
Aliqopa,Copanlisib dihydrochloride,COPANLISIB,CHEMBL3218576,Bayer,PI3Kalpha/‚âà√≠¬¨‚Ä¢ inhibitor,Oncology,Follicular lymphoma,follicular lymphoma,MONDO_0018906,Serious,"P,O,A,F",2017
Alunbrig,Brigatinib,BRIGATINIB,CHEMBL3545311,Ariad Pharmaceuticals/Takeda,ALK inhibitor,Oncology,ALK-positive NSCLC,non-small cell lung carcinoma,EFO_0003060,Serious,"P,O,B,A",2017
Austedo,Deutetrabenazine,DUTETRABENAZINE,CHEMBL3137326,Teva,VMAT2 inhibitor,Other indication,Chorea associated with Huntington disease,chorea; Huntington disease,"EFO_0004152,MONDO_0007739",Serious,"S,O",2017
Bavencio,Avelumab,AVELUMAB,CHEMBL3833373,Merck KGaA/Pfizer,PDL1-blocking antibody,Oncology,Merkel cell carcinoma,Merkel cell skin cancer,EFO_1001471,Serious,"P,O,B,A,F",2017
Baxdela,Delafloxacin,DELAFLOXACIN,CHEMBL2105637,Melinta Therapeutics,Fluoroquinolone antibacterial,No human target,Acute bacterial skin and skin structure infections,staphylococcal skin infections,EFO_1001849,Not serious,"P,F",2017
Benznidazole,Benznidazole,BENZNIDAZOLE,CHEMBL110,Chemo Research,Nitroimidazole antimicrobial,No human target,Chagas disease,Chagas disease,MONDO_0001444,Serious,"P,O,A",2017
Besponsa,Inotuzumab ozogamicin,INOTUZUMABOZOGAMICIN,CHEMBL2108611,Pfizer,CD22-directed antibody‚Äö√Ñ√∂‚àö√ë‚àö¬®drug conjugate,Oncology,B cell precursor ALL,precursor B-cell acute lymphoblastic leukemia,MONDO_0020511,Serious,"P,O,B",2017
Bevyxxa,Betrixaban,BETRIXABAN,CHEMBL512351,Portola Pharmaceuticals,FXa inhibitor,Other indication,Prophylaxis of venous thromboembolism,venous thromboembolism,EFO_0004286,Serious,"P,F",2017
Brineura,Cerliponase alfa,CERLIPONASEALFA,CHEMBL3544921,BioMarin Pharmaceutical,Tripeptidyl peptidase,Other indication,Tripeptidyl peptidase 1 deficiency (neuronal ceroid lipofuscinosis type 2*),neuronal ceroid lipofuscinosis 2,MONDO_0008769,Serious,"P,O,B",2017
Calquence,Acalabrutinib,ACALABRUTINIB,CHEMBL3707348,AstraZeneca/Acerta Pharma,BTK inhibitor,Oncology,Mantle cell lymphoma,Mantle cell lymphoma,EFO_1001469,Serious,"P,O,B,A",2017
Dupixent,Dupilumab,DUPILUMAB,CHEMBL2108675,Regeneron/Sanofi,IL-4Ralpha antagonist,Other indication,Atopic dermatitis,atopic eczema,EFO_0000274,Not serious,"P,B",2017
Emflaza,Deflazacort,DEFLAZACORT,CHEMBL1201891,PTC Therapeutics,Corticosteroid,Other indication,Duchenne muscular dystrophy,Duchenne muscular dystrophy,MONDO_0010679,Serious,"P,O,F",2017
Fasenra,Benralizumab,BENRALIZUMAB,CHEMBL1742991,AstraZeneca,IL-5Ralpha-directed monoclonal antibody,Other indication,Serious asthma,Status Asthmaticus,EFO_0008590,Serious,S,2017
Giapreza,Angiotensin II,ANGIOTENSINII,CHEMBL408403,La Jolla Pharmaceutical Company,Synthetic human angiotensin,Other indication,Blood pressure in adults with septic or other distributive shock,septic shock; blood pressure,"EFO_0006834,EFO_0004325",Serious,P,2017
Hemlibra,Emicizumab,EMICIZUMAB,CHEMBL3833393,Roche/Genentech,Bispecific FIX and FX-directed antibody,Other indication,Haemophilia A,hemophilia A,MONDO_0010602,Serious,"P,O,B",2017
Idhifa,Enasidenib mesylate,ENASIDENIBMESYLATE,CHEMBL3989931,Celgene/Agios,IDH2 inhibitor,Oncology,IDH2-mutated AML,acute myeloid leukemia,EFO_0000222,Serious,"P,O,F",2017
Imfinzi,Durvalumab,DURVALUMAB,CHEMBL3301587,AstraZeneca,PDL1-blocking antibody,Oncology,Urothelial carcinoma,urothelial carcinoma,EFO_0008528,Serious,"P,B,A",2017
Ingrezza,Valbenazine,VALBENAZINE,CHEMBL2364639,Neurocrine Biosciences,VMAT2 inhibitor,Other indication,Tardive dyskinesia,movement disorder,EFO_0004280,Not concordant,"P,B,F",2017
Kevzara,Sarilumab,SARILUMAB,CHEMBL2108730,Sanofi/Regeneron,IL-6 receptor antagonist,Other indication,Rheumatoid arthritis,rheumatoid arthritis,EFO_0000685,Serious,S,2017
Kisqali,Ribociclib,RIBOCICLIB,CHEMBL3545110,Novartis,CDK4/6 inhibitor,Oncology,"HR-positive, HER2-negative breast cancer",HER2 negative breast carcinoma,EFO_0009780,Serious,"P,B",2017
Macrilen,Macimorelin,MACIMORELIN,CHEMBL278623,Aeterna Zentaris,Growth hormone secretagogue receptor agonist,Other indication,Diagnosis of adult growth hormone deficiency,short stature due to GHSR deficiency,MONDO_0014403,Not serious,"S,O",2017
Mavyret,"Glecaprevir, pibrentasvir","GLECAPREVIR,PIBRENTASVIR","CHEMBL3545363,CHEMBL3545123",AbbVie,NS3/4A protease inhibitor plus a NS5A inhibitor,No human target,HCV,hepatitis C virus infection,EFO_0003047,Serious,"P,B,F",2017
Mepsevii,Vestronidase alfa,VESTRONIDASEALFA,CHEMBL3707382,Ultragenyx,Recombinant human lysosomal ‚âà√≠‚Äö√¢¬ß-glucuronidase,Other indication,Mucopolysaccharidosis VII,mucopolysaccharidosis type 7,MONDO_0009662,Serious,"P,O,F",2017
Nerlynx,Neratinib,NERATINIB,CHEMBL180022,Puma Biotechnology,"EGFR, HER2 and HER4 irreversible kinase inhibitor",Oncology,HER2-overexpressed breast cancer,HER2 Positive Breast Carcinoma,EFO_1000294,Serious,S,2017
Ocrevus,Ocrelizumab,OCRELIZUMAB,CHEMBL2108041,Roche/Genentech,CD20-directed cytolytic antibody,Other indication,Relapsing or primary progressive forms of multiple sclerosis,chronic progressive multiple sclerosis,EFO_0003840,Serious,"P,B,F",2017
Ozempic,Semaglutide,SEMAGLUTIDE,CHEMBL2108724,Novo Nordisk,GLP1 receptor agonist,Other indication,Type 2 diabetes mellitus,type 2 diabetes mellitus,MONDO_0005148,Not concordant,S,2017
Parsabiv,Etelcalcetide,VELCALCETIDE,CHEMBL3545184,Amgen/Kai Pharmaceuticals,Calcium-sensing receptor agonist,Other indication,Secondary hyperparathyroidism in patients with chronic kidney disease on haemodialysis,hyperparathyroidism,EFO_0008506,Not serious,S,2017
Prevymis,Letermovir,LETERMOVIR,CHEMBL1241951,Merck & Co.,CMV DNA terminase complex inhibitor,No human target,Prophylaxis of CMV (cytomegalovirus),cytomegalovirus infection,EFO_0001062,Serious,"P,O,B,F",2017
Radicava,Edaravone,EDARAVONE,CHEMBL290916,Mitsubishi Tanabe,Unknown (radical scavenger),No human target,ALS (amyotrophic lateral sclerosis),amyotrophic lateral sclerosis,MONDO_0004976,Serious,"S,O",2017
Rhopressa,Netarsudil,NETARSUDIL,CHEMBL4594250,Aerie Pharmaceuticals,RHO kinase inhibitor,Other indication,Open-angle glaucoma or ocular hypertension,open-angle glaucoma; ocular hypertension,"EFO_0004190,EFO_1001069",Serious,P,2017
Rydapt,Midostaurin,MIDOSTAURIN,CHEMBL608533,Novartis,FLT3 inhibitor,Oncology,FLT3-positive AML,"acute myeloid leukemia, FLT3 internal tandem duplication",MONDO_0100415,Serious,"P,O,B,F",2017
Siliq,Brodalumab,BRODALUMAB,CHEMBL1742996,Valeant Pharmaceuticals,IL-17RA antagonist,Other indication,Plaque psoriasis,psoriasis vulgaris,EFO_1001494,Not serious,S,2017
Solosec,Secnidazole,SECNIDAZOLE,CHEMBL498847,Lupin,Nitroimidazole antimicrobial,No human target,Bacterial vaginosis,bacterial vaginosis,EFO_0003932,Not serious,"P,F",2017
Steglatro,Ertugliflozin,ERTUGLIFLOZIN,CHEMBL1770248,Merck & Co./Pfizer,SGLT2 inhibitor,Other indication,Type 2 diabetes mellitus,type 2 diabetes mellitus,MONDO_0005148,Not concordant,S,2017
Symproic,Naldemedine,NALDEMEDINE,CHEMBL2105755,Shionogi,Opioid antagonist,Other indication,Opioid-induced constipation,Constipation,HP_0002019,Not serious,S,2017
Tremfya,Guselkumab,GUSELKUMAB,CHEMBL2364648,Janssen/Johnson & Johnson,IL-23 blocker,Other indication,Plaque psoriasis,psoriasis vulgaris,EFO_1001494,Not serious,P,2017
Trulance,Plecanatide,PLECANATIDE,CHEMBL2103867,Synergy Pharmaceuticals,Guanylate cyclase C agonist,Other indication,Chronic idiopathic constipation,Chronic constipation,HP_0012450,Not serious,S,2017
Tymlos,Abaloparatide,ABALOPARATIDE,CHEMBL3301581,Radius Health,Parathyroid hormone-related protein,Other indication,Osteoporosis,osteoporosis,EFO_0003882,Not serious,S,2017
Vabomere,"Meropenem, vaborbactam","MEROPENEM,VABORBACTAM","CHEMBL127,CHEMBL3317857",The Medicines Company/Rempex Pharmaceuticals,Carbapenem antimicrobial plus a ‚âà√≠‚Äö√¢¬ß-lactamase inhibitor,No human target,Complicated urinary tract infections,urinary tract infection,EFO_0003103,Not serious,"P,F",2017
Verzenio,Abemaciclib,ABEMACICLIB,CHEMBL3301610,Eli Lilly,CDK4/6 inhibitor,Oncology,"HR-positive, HER2-negative breast cancer",HER2 negative breast carcinoma,EFO_0009780,Serious,"P,B,F",2017
Vosevi,"Sofosbuvir, velpatasvir, voxilaprevir","SOFOSBUVIR,VELPATASVIR,VOXILAPREVIR","CHEMBL1259059,CHEMBL3545062,CHEMBL3707372",Gilead Sciences,Nucleotide analogue NS5B polymerase inhibitor plus an NS5A inhibitor plus an NS3/4A protease inhibitor,No human target,HCV,hepatitis C virus infection,EFO_0003047,Serious,"P,B",2017
Vyzulta,Latanoprostene bunod,LATANOPROSTENEBUNOD,CHEMBL2364612,Bausch and Lomb/Valeant Pharmaceuticals,Prostaglandin analogue,Other indication,Intraocular pressure,intraocular pressure measurement,EFO_0004695,Not serious,S,2017
Xadago,Safinamide,SAFINAMIDE,CHEMBL396778,US WorldMeds,MAO-B inhibitor,Other indication,Parkinson disease,Parkinson disease,MONDO_0005180,Serious,S,2017
Xepi,Ozenoxacin,OZENOXACIN,CHEMBL3990047,Ferrer Internacional,Quinolone antimicrobial,No human target,Impetigo due to Staphylococcus aureus or Streptococcus pyogenes,impetigo,EFO_1000714,Not serious,S,2017
Xermelo,Telotristat etiprate,TELOTRISTATETIPRATE,CHEMBL3348963,Lexicon Pharmaceuticals,Tryptophan hydroxylase inhibitor,Other indication,Carcinoid syndrome diarrhoea,carcinoid syndrome; Diarrhea,"EFO_1000852,HP_0002014",Not serious,"P,O,F",2017
Zejula,Niraparib,NIRAPARIB,CHEMBL1094636,Tesaro,PARP inhibitor,Oncology,"Epithelial ovarian, fallopian tube or primary peritoneal cancer",fallopian tube cancer; ovarian epithelial tumor; primary peritoneal carcinoma,"MONDO_0002158,MONDO_0002229,MONDO_0015686",Serious,"P,O,B,F",2017
Aemcolo,Rifamycin,RIFAMYCIN,CHEMBL437765,Cosmo Technologies,Ansamycin antibacterial,No human target,Travellers diarrhoea,Diarrhea,HP_0002014,Not serious,"P,F",2018
Aimovig,Erenumab,ERENUMAB,CHEMBL3833329,Amgen/Novartis,CGRP receptor antibody,Other indication,Migraine,migraine disorder,MONDO_0005277,Not serious,S,2018
Ajovy,Fremanezumab,FREMANEZUMAB,CHEMBL4297756,Teva,CGRP antibody,Other indication,Migraine,migraine disorder,MONDO_0005277,Not serious,P,2018
Akynzeo IV,"Palonosetron, fosnetupitant","PALONOSETRON,FOSNETUPITANT","CHEMBL1189679,CHEMBL3989917",Helsinn Group,5-HT3-receptor antagonist and NK1-receptor antagonist,Other indication,Chemotherapy-induced emesis,Chemotherapy-induced nausea and vomiting,EFO_0006911,Not serious,S,2018
Annovera,"Segesterone acetate, ethinyl estradiol","SEGESTERONEACETATE,ETHINYLESTRADIOL","CHEMBL3707377,CHEMBL691",TherapeuticsMD,Progestin and estrogen combined hormonal contraceptive,Other indication,Female contraception,contraception,EFO_0009520,Not serious,S,2018
Asparlas,Calaspargase pegol,CALASPARGASEPEGOL,CHEMBL2108728,Servier,Asparagine specific enzyme,Oncology,ALL,acute lymphoblastic leukemia,EFO_0000220,Serious,"S,O",2018
Biktarvy,"Bictegravir, emtricitabine, tenofovir alafenamide","BICTEGRAVIR,EMTRICITABINE,TENOFOVIRALAFENAMIDE","CHEMBL3989866,CHEMBL885,CHEMBL2107825",Gilead Sciences,HIV-1 integrase inhibitor and HIV-1 nucleoside/nucleotide reverse transcriptase inhibitors,No human target,HIV,hiv infection,EFO_0000764,Serious,P,2018
Braftovi,Encorafenib,ENCORAFENIB,CHEMBL3301612,Array BioPharma,BRAF inhibitor,Oncology,BRAF-mutated melanoma,melanoma,EFO_0000756,Serious,"S,O",2018
Copiktra,Duvelisib,DUVELISIB,CHEMBL3039502,Verastem,PI3K inhibitor,Oncology,"CLL, FL and SLL",chronic lymphocytic leukemia; follicular lymphoma,"EFO_0000095,MONDO_0018906",Serious,"P,O,A,F",2018
Crysvita,Burosumab,BUROSUMAB,CHEMBL3707326,Ultragenyx Pharmaceutical/Kyowa Hakko Kirin,FGF23 antibody,Other indication,X-linked hypophosphataemia,Hypophosphatemia,HP_0002148,Not serious,"P,O,B,F",2018
Daurismo,Glasdegib,GLASDEGIB,CHEMBL2043437,Pfizer,Hedgehog pathway inhibitor,Oncology,AML,acute myeloid leukemia,EFO_0000222,Serious,"P,O",2018
Diacomit,Stiripentol,STIRIPENTOL,CHEMBL1983350,Biocodex,GABA reuptake inhibitor,Other indication,Dravet syndrome,dravet syndrome,Orphanet_33069,Serious,"P,O",2018
Doptelet,Avatrombopag,AVATROMBOPAG,CHEMBL2103883,Dova Pharmaceuticals,Thrombopoietin receptor agonist,Other indication,Thrombocytopenia,thrombocytopenia,HP_0001873,Not concordant,P,2018
Elzonris,Tagraxofusp,TAGRAXOFUSP,CHEMBL4297573,Stemline Therapeutics,IL-3 and diphtheria toxin fusion protein,Oncology,Blastic plasmacytoid dendritic cell neoplasm,blastic plasmacytoid dendritic cell neoplasm,EFO_0010580,Serious,"P,O,B",2018
Emgality,Galcanezumab,GALCANEZUMAB,CHEMBL3707328,Eli Lilly,CGRP antibody,Other indication,Migraine,migraine disorder,MONDO_0005277,Not serious,"S,F",2018
Epidiolex,Cannabidiol,CANNABIDIOL,CHEMBL190461,GW Pharmaceuticals,Cannabinoid,Other indication,Dravet syndrome and Lennox-Gastaut syndrome,Dravet syndrome; Lennox-Gastaut syndrome,"Orphanet_33069,MONDO_0016532",Serious,"P,O,F",2018
Erleada,Apalutamide,APALUTAMIDE,CHEMBL3183409,Johnson & Johnson,Androgen receptor inhibitor,Oncology,Prostate cancer,prostate cancer,MONDO_0008315,Serious,"P,F",2018
Firdapse,Amifampridine,AMIFAMPRIDINE,CHEMBL354077,Catalyst Pharmaceuticals,Potassium channel blocker,Other indication,Lambert-Eaton myasthenic syndrome,Lambert-Eaton myasthenic syndrome,Orphanet_43393,Serious,"P,O",2018
Galafold,Migalastat,MIGALASTAT,CHEMBL110458,Amicus Therapeutics,beta-galactosidase regulator,Other indication,Fabry disease,fabry disease,MONDO_0010526,Serious,"P,O,A,F",2018
Gamifant,Emapalumab,EMAPALUMAB,CHEMBL3989977,Novimmune,Interferon-‚âà√≠‚Äö√¢‚Ä¢-blocking antibody,Other indication,Primary haemophagocytic lymphohistiocytosis,genetic hemophagocytic lymphohistiocytosis,MONDO_0015541,Serious,"P,O,B",2018
Ilumya,Tildrakizumab,TILDRAKIZUMAB,CHEMBL2108681,Sun Pharma,IL-23 antibody,Other indication,Plaque psoriasis,psoriasis vulgaris,EFO_1001494,Not serious,S,2018
Krintafel,Tafenoquine,TAFENOQUINE,CHEMBL298470,Medicines for Malaria Venture/GlaxoSmithKline,8-Aminoquinoline antimalarial,No human target,Plasmodium vivax malaria,Plasmodium vivax malaria,EFO_0007445,Serious,"P,O,B,F",2018
Libtayo,Cemiplimab,CEMIPLIMAB,CHEMBL4297723,Regeneron/Sanofi,PD1 antibody,Oncology,"CSCC, BCC(*), NSCLC(*)",cutaneous squamous cell carcinoma; basal cell carcinoma; non-small cell lung carcinoma,"EFO_1001927,EFO_0004193,EFO_0003060",Serious,"P,B",2018
Lokelma,Sodium zirconium cyclosilicate,SODIUMZIRCONIUMCYCLOSILICATE,CHEMBL3301592,AstraZeneca,Potassium binder,No human target,Hyperkalaemia,hyperkalemia,HP_0002153,Not concordant,S,2018
Lorbrena,Lorlatinib,LORLATINIB,CHEMBL3286830,Pfizer,ALK and ROS1 inhibitor,Oncology,ALK-positive NSCLC,non-small cell lung carcinoma,EFO_0003060,Serious,"P,O,B,A",2018
Lucemyra,Lofexidine,LOFEXIDINE,CHEMBL17860,US WorldMeds,beta2-adrenoceptor agonist,Other indication,Opioid withdrawal,opioid dependence,EFO_0005611,Not serious,"P,F",2018
Lumoxiti,Moxetumomab pasudotox,MOXETUMOMABPASUDOTOX,CHEMBL1743043,AstraZeneca,CD22-directed antibody‚Äö√Ñ√∂‚àö√ë‚àö¬®drug conjugate,Oncology,Hairy cell leukaemia,hairy cell leukemia,EFO_1000956,Serious,"P,O,F",2018
Lutathera,Lutetium Lu 177 dotatate,LUTETIUMLU177DOTATATE,CHEMBL3989924,Advanced Accelerator Applications/Novartis,Somatostatin receptor-targeted radiopharmaceutical,Oncology,GEP-NETs,digestive system neuroendocrine neoplasm,MONDO_0024503,Serious,"P,O,F",2018
Mektovi,Binimetinib,BINIMETINIB,CHEMBL3187723,Array BioPharma,MEK inhibitor,Oncology,BRAF-mutated melanoma,melanoma,EFO_0000756,Serious,"S,O",2018
Motegrity,Prucalopride,PRUCALOPRIDE,CHEMBL117287,Shire/Takeda,5-HT4-receptor agonist,Other indication,Chronic idiopathic constipation,constipation disorder,MONDO_0002203,Not serious,S,2018
Moxidectin,Moxidectin,MOXIDECTIN,CHEMBL2104415,Medicines Development for Global Health,Antihelmintic GABA receptor and glutamate channel modulator,No human target,River blindness,ocular onchocerciasis,EFO_0007398,Not concordant,"P,O",2018
Mulpleta,Lusutrombopag,LUSUTROMBOPAG,CHEMBL2107831,Shionogi,Thrombopoietin receptor agonist,Other indication,Thrombocytopenia,thrombocytopenia,HP_0001873,Not concordant,"P,F",2018
Nuzyra,Omadacycline,OMADACYCLINE,CHEMBL1689772,Paratek Pharmaceuticals,Tetracycline antibiotic,No human target,CABP and ABSSSI,bacterial pneumonia; skin disease caused by bacterial infection,"EFO_1001272,MONDO_0024295",Serious,"P,F",2018
Olumiant,Baricitinib,BARICITINIB,CHEMBL2105759,Incyte/Eli Lilly,JAK inhibitor,Other indication,Rheumatoid arthritis,rheumatoid arthritis,EFO_0000685,Serious,S,2018
Omegaven,Fish oil triglycerides,FISHOILTRIGLYCERIDES,CHEMBL4297535,Fresenius,Mixture of fatty acids,No human target,Parenteral nutrition-associated cholestasis,cholestasis,MONDO_0001751,Serious,"P,O,F",2018
Onpattro,Patisiran,PATISIRAN,CHEMBL3989987,Alnylam Pharmaceuticals,TTR-directed small interfering RNA,Other indication,Hereditary TTR-mediated amyloidosis,hereditary ATTR amyloidosis,MONDO_0017132,Serious,"P,O,B,F",2018
Orilissa,Elagolix sodium,ELAGOLIXSODIUM,CHEMBL502182,AbbVie,GnRH receptor antagonist,Other indication,Pain associated with endometriosis,adenomyosis; pain,"MONDO_0010888,EFO_0003843",Not serious,P,2018
Oxervate,Cenegermin,CENEGERMIN,CHEMBL4297852,Domp‚Äö√†√∂¬¨¬©,Recombinant NGF,Other indication,Neurotrophic keratitis,keratitis,EFO_0009449,Not serious,"P,O,B,F",2018
Palynziq,Pegvaliase,PEGVALIASE,CHEMBL4297802,BioMarin Pharmaceutical,PAL replacement therapy,No human target,Phenylketonuria,phenylketonuria,MONDO_0009861,Serious,"P,O,F",2018
Pifeltro,Doravirine,DORAVIRINE,CHEMBL2364608,Merck & Co.,NNRTI,No human target,HIV,hiv infection,EFO_0000764,Serious,S,2018
Poteligeo,Mogamulizumab,MOGAMULIZUMAB,CHEMBL1743041,Kyowa Hakko Kirin,CCR4 antibody,Oncology,mycosis fungoides or Sezary syndrome,mycosis fungoides,EFO_1001051,Serious,"P,O,B",2018
Revcovi,Elapegademase,ELAPEGADEMASE,CHEMBL3990026,Leadiant Biosciences,Recombinant adenosine deaminase,Other indication,ADA-SCID,"Serious combined immunodeficiency, autosomal recessive, t cell-negative, b cell-negative, nk cell-negative, due to adenosine deaminase deficiency",MONDO_0007064,Serious,"P,O,F",2018
Seysara,Sarecycline,SARECYCLINE,CHEMBL2364632,Allergan,Tetracycline antibiotic,No human target,Serious acne vulgaris,acne,EFO_0003894,Not serious,S,2018
Symdeko,"Tezacaftor, ivacaftor","TEZACAFTOR,IVACAFTOR","CHEMBL3544914,CHEMBL2010601",Vertex Pharmaceuticals,CFTR corrector and CFTR potentiator,Other indication,Cystic fibrosis,cystic fibrosis,MONDO_0009061,Serious,"P,O,B,F",2018
Takhzyro,Lanadelumab,LANADELUMAB,CHEMBL3545189,Dyax/Shire,Kallikrein antibody,Other indication,Hereditary angioedema,hereditary angioedema,MONDO_0019623,Serious,"P,O,B,F",2018
Talzenna,Talazoparib,TALAZOPARIB,CHEMBL3137320,Pfizer,PARP inhibitor,Oncology,BRCA-mutated HER2-negative breast cancer,HER2 negative breast carcinoma,EFO_0009780,Serious,P,2018
Tavalisse,Fostamatinib,FOSTAMATINIB,CHEMBL2103830,Rigel Pharmaceuticals,SYK inhibitor,Other indication,Immune thrombocytopenic purpura,autoimmune thrombocytopenic purpura,EFO_0007160,Serious,"S,O",2018
Tegsedi,Inotersen,INOTERSEN,CHEMBL4297770,Ionis Pharmaceuticals,TTR-directed antisense oligonucleotide,Other indication,Hereditary TTR-mediated amyloidosis,hereditary ATTR amyloidosis,MONDO_0017132,Serious,"P,O,F",2018
Tibsovo,Ivosidenib,IVOSIDENIB,CHEMBL3989958,Agios Pharmaceuticals,IDH1 inhibitor,Oncology,"IDH1-mutated AML, Locally Advanced or Metastatic Cholangiocarcinoma (*)",acute myeloid leukemia; cholangiocarcinoma,"EFO_0000222,EFO_0005221",Serious,"P,O,F",2018
TPOXX,Tecovirimat,TECOVIRIMAT,CHEMBL1257073,SIGA Technologies,Viral p37 protein inhibitor,No human target,Smallpox,smallpox,MONDO_0004651,Serious,"P,O,F",2018
Trogarzo,Ibalizumab,IBALIZUMAB,CHEMBL1743029,TaiMed Biologics/Theratechnologies,CD4 antibody,Other indication,HIV,hiv infection,EFO_0000764,Serious,"P,O,B,F",2018
Ultomiris,Ravulizumab,RAVULIZUMAB,CHEMBL3989986,Alexion,Complement inhibitor,Other indication,"Paroxysmal nocturnal haemoglobinuria, atypical hemolytic uremic syndrome (*), generalized myasthenia gravis AChR+ (*)","paroxysmal nocturnal hemoglobinuria, atypical hemolytic-uremic syndrome, Myasthenia gravis","MONDO_0100244,MONDO_0016244,EFO_0004991",Serious,"S,O",2018
Vitrakvi,Larotrectinib,LAROTRECTINIB,CHEMBL3889654,Loxo Oncology/Bayer,"TRKA, TRKB and TRKC inhibitor",Oncology,NTRK-positive solid cancers,salivary gland cancer; soft tissue sarcoma; thyroid cancer,"MONDO_0004669,EFO_1001968,MONDO_0002108",Serious,"P,O,B,A",2018
Vizimpro,Dacomitinib,DACOMITINIB,CHEMBL2105719,Pfizer,EGFR inhibitor,Oncology,EGFR-mutated NSCLC,non-small cell lung carcinoma,EFO_0003060,Serious,"P,O",2018
Xerava,Eravacycline,ERAVACYCLINE,CHEMBL1951095,Tetraphase Pharmaceuticals,Tetracycline antibiotic,No human target,Complicated intra-abdominal infections,infectious disease,EFO_0005741,Serious,"P,F",2018
