"Brand_name","Drug_name_original","Drug_name","Sponsor","DrugId","Properties","Indication","Indication_EFO","DiseaseId","TA","Review_type_2","Year","targetIds"
"Oxbryta","Voxelotor","VOXELOTOR","Global Blood Therapeutics","CHEMBL4101807","Haemoglobin S polymerization inhibitor","SCD (sickle cell disease)","sickle cell anemia","MONDO_0011382","Other","P, O, B, A, F",2019,"ENSG00000206172, ENSG00000244734, ENSG00000188536"
"Vyondys 53","Golodirsen","GOLODIRSEN","Sarepta","CHEMBL4297762","Exon 53 skipping antisense","Duchenne muscular dystrophy","duchenne muscular dystrophy","MONDO_0010679","Other","P, O, A, F",2019,"ENSG00000198947"
"Padcev","Enfortumab vedotin","ENFORTUMAB VEDOTIN","Astellas","CHEMBL3301589","Nectin-4-directed ADC","Urothelial cancers","urothelial neoplasm","MONDO_0024337","Oncology","P, B, A",2019,"ENSG00000143217, ENSG00000101162, ENSG00000167552, ENSG00000261456, ENSG00000127824, ENSG00000123416, ENSG00000258947, ENSG00000198033, ENSG00000188229, ENSG00000152086, ENSG00000137267, ENSG00000104833, ENSG00000167553, ENSG00000137285, ENSG00000196230, ENSG00000176014"
"Tissueblue","Brilliant Blue G","BRILLIANT BLUE G","Dutch Ophthalmic Research","CHEMBL4173394","Brilliant Blue G dye","Staining the internal limiting membrane",NA,NA,"Other","P, O",2019,""
"Dayvigo","Lemborexant","LEMBOREXANT","Eisai","CHEMBL3545367","Orexin receptor antagonist","Insomnia","insomnia","EFO_0004698","Other","S",2019,"ENSG00000121764, ENSG00000137252"
"Enhertu","Trastuzumab deruxtecan","TRASTUZUMAB DERUXTECAN","Daiichi Sankyo/AstraZeneca","CHEMBL4297844","HER2-directed ADC","HER2-positive breast cancer","HER2 Positive Breast Carcinoma","EFO_1000294","Oncology","P, B, A, F",2019,"ENSG00000141736, ENSG00000198900"
"Caplyta","Lumateperone","LUMATEPERONE","Intra-Cellular Therapies","CHEMBL3306803","Atypical antipsychotic","Schizophrenia","schizophrenia","MONDO_0005090","Other","S, F",2019,"ENSG00000102468, ENSG00000108576, ENSG00000149295"
"Ubrelvy","Ubrogepant","UBROGEPANT","Allergan","CHEMBL2364638","CGRP receptor antagonist","Migraine with or without aura","migraine disorder","MONDO_0005277","Other","S",2019,"ENSG00000064989"
"Ayvakit","Avapritinib","AVAPRITINIB","Blueprint Medicines","CHEMBL4204794","PDGFRA, PDGFRA mutants and KIT kinase inhibitor","GIST with PDGFRA exon 18 mutations","gastrointestinal stromal tumor","MONDO_0011719","Oncology","P, O, B, F",2020,"ENSG00000157404, ENSG00000134853"
"Tepezza","Teprotumumab","TEPROTUMUMAB","Horizon Therapeutics","CHEMBL1743079","IGF1R-directed mAb","Thyroid eye disease","Graves disease","EFO_0004237","Other","P, O, B, F",2020,"ENSG00000140443"
"Tazverik","Tazemetostat","TAZEMETOSTAT","Epizyme","CHEMBL3414621","EZH2 inhibitor","Epithelioid sarcoma","epithelioid sarcoma","MONDO_0017387","Oncology","P, O, A, F",2020,"ENSG00000106462"
"Pizensy","Lactitol","LACTITOL","Braintree Labs","CHEMBL1661","Osmotic laxative","Chronic idiopathic constipation","Chronic constipation","HP_0012450","Other","S",2020,""
"Vyepti","Eptinezumab","EPTINEZUMAB","Lundbeck","CHEMBL3833320","CGRP-directed mAb","Migraine","migraine disorder","MONDO_0005277","Other","S",2020,"ENSG00000110680, ENSG00000175868"
"Nexletol","Bempedoic acid","BEMPEDOIC ACID","Esperion Therapeutics","CHEMBL3545313","ACL inhibitor","HeFH or atherosclerotic cardiovascular disease","atherosclerosis; familial hypercholesterolemia","EFO_0003914; EFO_0004911","Other","S",2020,"ENSG00000131473"
"Barhemsys","Amisulpride","AMISULPRIDE","Acacia","CHEMBL243712","Dopamine receptors D2 & D3 antagonist","Nausea and vomiting after surgery","Nausea and vomiting","HP_0002017","Other","S",2020,"ENSG00000151577, ENSG00000149295, ENSG00000164270, ENSG00000157219, ENSG00000158748, ENSG00000166736, ENSG00000186090, ENSG00000178084, ENSG00000102468, ENSG00000149305, ENSG00000179097, ENSG00000135914, ENSG00000178394, ENSG00000168830, ENSG00000147246, ENSG00000186038, ENSG00000148680, ENSG00000135312, ENSG00000179546"
"Nurtec ODT","Rimegepant","RIMEGEPANT","Biohaven","CHEMBL2178422","CGRP receptor antagonist","Migraine","migraine disorder","MONDO_0005277","Other","S",2020,"ENSG00000064989"
"Sarclisa","Isatuximab","ISATUXIMAB","Sanofi","CHEMBL3545131","CD38-directed mAb","Multiple myeloma","multiple myeloma","EFO_0001378","Oncology","S, O",2020,"ENSG00000004468"
"Isturisa","Osilodrostat","OSILODROSTAT","Recordati Rare Diseases","CHEMBL3099695","Cortisol synthesis inhibitor","Cushing disease","Cushing syndrome","EFO_0003099","Other","S, O",2020,"ENSG00000160882"
"Zeposia","Ozanimod","OZANIMOD","Celgene/Bristol Myers Squibb","CHEMBL3707247","S1P receptor modulator","Multiple sclerosis","multiple sclerosis","MONDO_0005301","Other","S",2020,"ENSG00000170989"
"Koselugo","Selumetinib","SELUMETINIB","AstraZeneca","CHEMBL1614701","MEK1/2 kinase inhibitor","Neurofibromatosis type 1","neurofibromatosis type 1","MONDO_0018975","Other","P, O, B",2020,"ENSG00000169032, ENSG00000126934"
"Tukysa","Tucatinib","TUCATINIB","Seagen","CHEMBL3989868","HER2 kinase inhibitor","HER2-positive breast cancer","HER2 Positive Breast Carcinoma","EFO_1000294","Oncology","P, O, B, F",2020,"ENSG00000141736"
"Pemazyre","Pemigatinib","PEMIGATINIB","Incyte","CHEMBL4297522","FGFR1-3 kinase inhibitor","Cholangiocarcinoma","cholangiocarcinoma","EFO_0005221","Oncology","P, O, B, A",2020,"ENSG00000066468, ENSG00000068078, ENSG00000077782"
"Trodelvy","Sacituzumab govitecan","SACITUZUMAB GOVITECAN","Immunomedics/Gilead","CHEMBL3545262","TROP2-directed ADC, with topoisomerase inhibitor","Triple-negative breast cancer (and advanced or metastatic urothelial cancer (mUC)*)","triple-negative breast cancer; urothelial carcinoma","EFO_0005537; EFO_0008528","Oncology","P, B, A, F",2020,"ENSG00000198900, ENSG00000184292"
"Ongentys","Opicapone","OPICAPONE","Neurocrine","CHEMBL1089318","COMT inhibitor","Parkinson disease","parkinson disease","MONDO_0005180","Other","S",2020,"ENSG00000093010"
"Tabrecta","Capmatinib","CAPMATINIB","Novartis","CHEMBL3188267","MET kinase inhibitor","NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2020,"ENSG00000105976"
"Retevmo","Selpercatinib","SELPERCATINIB","Eli Lilly/Loxo Oncology","CHEMBL4559134","RET kinase inhibitor","RET fusion-positive NSCLC and thyroid cancer","non-small cell lung carcinoma; thyroid cancer","EFO_0003060; MONDO_0002108","Oncology","P, O, B, A",2020,"ENSG00000108091, ENSG00000165731, ENSG00000170759"
"Qinlock","Ripretinib","RIPRETINIB","Deciphera","CHEMBL4216467","KIT and PDGFRA kinase inhibitor","GIST","gastrointestinal stromal tumor","MONDO_0011719","Oncology","P, O, B, F",2020,"ENSG00000157404, ENSG00000134853"
"Fluoroestradiol F-18","Fluoroestradiol F-18","FLUOROESTRADIOL F-18","Zionexa","CHEMBL4594261","Radioactive diagnostic","Imaging, breast cancer","breast carcinoma","EFO_0000305","Other","S",2020,"ENSG00000186868"
"Artesunate","Artesunate","ARTESUNATE","Amivas","CHEMBL361497","Artemisinin antimalarial","Severe malaria","malaria","EFO_0001068","Other","P, O, B, F",2020,""
"Flortaucipir F-18","Flortaucipir F-18","FLORTAUCIPIR F-18","Eli Lilly","CHEMBL3545253","Radioactive diagnostic","Imaging, tau in Alzheimer disease","Alzheimer disease","MONDO_0004975","Other","P",2020,"ENSG00000186868"
"Uplizna","Inebilizumab","INEBILIZUMAB","Viela Bio","CHEMBL2109334","CD19-directed mAb","NMOSD","neuromyelitis optica","EFO_0004256","Other","S, O, B",2020,"ENSG00000177455"
"Zepzelca","Lurbinectedin","LURBINECTEDIN","Jazz","CHEMBL4297516","Alkylating drug","Small-cell lung cancer","small cell lung carcinoma","EFO_0000702","Oncology","P, O, A",2020,""
"Dojolvi","Triheptanoin","TRIHEPTANOIN","Ultragenyx","CHEMBL4297585","Medium-chain triglyceride","LC-FAODs","inherited fatty acid metabolism disorder","MONDO_0037858","Other","S, O, F",2020,""
"Rukobia","Fostemsavir","FOSTEMSAVIR","ViiV Healthcare","CHEMBL3301594","Attachment inhibitor","HIV","hiv infection","EFO_0000764","Other","P, B, F",2020,""
"Byfavo","Remimazolam","REMIMAZOLAM","Acacia","CHEMBL4297526","Benzodiazepine","Procedural sedation","sedation","EFO_0009868","Other","S",2020,"ENSG00000102287, ENSG00000163288, ENSG00000186297, ENSG00000145864, ENSG00000113327, ENSG00000011677, ENSG00000094755, ENSG00000163285, ENSG00000151834, ENSG00000109158, ENSG00000268089, ENSG00000187730, ENSG00000182256, ENSG00000022355, ENSG00000145863, ENSG00000166206"
"Inqovi","Cedazuridine; decitabine","CEDAZURIDINE","Otsuka","CHEMBL3237547","Cytidine deaminase inhibitor; nucleoside metabolic inhibitor","Myelodysplastic syndromes","myelodysplastic syndrome","EFO_0000198","Other","P, O",2020,"ENSG00000158825"
"Inqovi","Cedazuridine; decitabine","DECITABINE","Otsuka","CHEMBL1201129","Cytidine deaminase inhibitor; nucleoside metabolic inhibitor","Myelodysplastic syndromes","myelodysplastic syndrome","EFO_0000198","Other","P, O",2020,"ENSG00000119772, ENSG00000130816"
"Xeglyze","Abametapir","ABAMETAPIR","Dr Reddy‚Äö√Ñ√∂‚àö√ë‚àö¬•s","CHEMBL2205807","Metalloproteinase inhibitor","Head lice","lice infestation","MONDO_0003472","Other","S",2020,""
"Monjuvi","Tafasitamab","TAFASITAMAB","MorphoSys","CHEMBL4298047","CD19-directed mAb","DLBCL","diffuse large b-cell lymphoma","EFO_0000403","Oncology","P, O, B, A, F",2020,"ENSG00000177455"
"Blenrep","Belantamab mafodotin","BELANTAMAB MAFODOTIN","GlaxoSmithKline","CHEMBL4298209","BCMA-directed ADC, with microtubule inhibitor","Multiple myeloma","multiple myeloma","EFO_0001378","Oncology","P, O, B, A",2020,"ENSG00000048462, ENSG00000152086, ENSG00000167553, ENSG00000188229, ENSG00000137267, ENSG00000176014, ENSG00000261456, ENSG00000127824, ENSG00000123416, ENSG00000137285, ENSG00000258947, ENSG00000167552, ENSG00000198033, ENSG00000196230, ENSG00000104833, ENSG00000101162"
"Lampit","Nifurtimox","NIFURTIMOX","Bayer","CHEMBL290960","Nitrofuran antiprotozoal","Chagas disease","chagas disease","MONDO_0001444","Other","P, O, A",2020,""
"Olinvyk","Oliceridine","OLICERIDINE","Trevena","CHEMBL2443262","Opioid receptor agonist","Acute pain","pain","EFO_0003843","Other","S, F",2020,"ENSG00000112038"
"Evrysdi","Risdiplam","RISDIPLAM","Roche/Genentech","CHEMBL4297528","SMN2 splicing modifier","Spinal muscular atrophy","spinal muscular atrophy","EFO_0008525","Other","P, O, F",2020,"ENSG00000205571"
"Viltepso","Viltolarsen","VILTOLARSEN","Nippon Shinyaku","CHEMBL4298062","Dystrophin splicing modifier","Duchenne muscular dystrophy","duchenne muscular dystrophy","MONDO_0010679","Other","P, O, A, F",2020,"ENSG00000198947"
"Enspryng","Satralizumab","SATRALIZUMAB","Roche/Genentech","CHEMBL3833307","IL-6R-directed mAb","NMOSD","neuromyelitis optica","EFO_0004256","Other","S, O, B, F",2020,"ENSG00000160712, ENSG00000134352"
"Winlevi","Clascoterone","CLASCOTERONE","Cassiopea SpA","CHEMBL3590187","Androgen receptor inhibitor","Acne vulgaris","acne","EFO_0003894","Other","S",2020,"ENSG00000169083"
"Sogroya","Somapacitan","SOMAPACITAN","Novo Nordisk","CHEMBL3707290","Growth hormone analogue","Growth hormone deficiency","short stature due to partial GHR deficiency","MONDO_0011420","Other","S",2020,"ENSG00000112964"
"Copper dotatate Cu-64","Copper dotatate Cu-64","COPPER DOTATATE CU-64","Radiomedix","CHEMBL4297339","Radioactive diagnostic","Imaging, cancer","neuroendocrine neoplasm","EFO_1001901","Other","P, O, F",2020,"ENSG00000180616"
"Gavreto","Pralsetinib","PRALSETINIB","Blueprint Medicines/Roche","CHEMBL4582651","RET kinase inhibitor","RET fusion-positive NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A",2020,"ENSG00000170759, ENSG00000165731, ENSG00000108091"
"Inmazeb","Atoltivimab; odesivimab; maftivimab","ATOLTIVIMAB","Regeneron","CHEMBL4298183","Cocktail of Ebola glycoprotein-directed mAbs","Ebola virus","Ebola hemorrhagic fever","EFO_0007243","Other","P, O, B",2020,""
"Inmazeb","Atoltivimab; odesivimab; maftivimab","ODESIVIMAB","Regeneron","CHEMBL4298188","Cocktail of Ebola glycoprotein-directed mAbs","Ebola virus","Ebola hemorrhagic fever","EFO_0007243","Other","P, O, B",2020,""
"Inmazeb","Atoltivimab; odesivimab; maftivimab","MAFTIVIMAB","Regeneron","CHEMBL4298184","Cocktail of Ebola glycoprotein-directed mAbs","Ebola virus","Ebola hemorrhagic fever","EFO_0007243","Other","P, O, B",2020,""
"Veklury","Remdesivir","REMDESIVIR","Gilead","CHEMBL4065616","Nucleotide analogue RNA polymerase inhibitor","COVID-19","covid-19","MONDO_0100096","Other","P, F",2020,""
"Zokinvy","Lonafarnib","LONAFARNIB","Eiger","CHEMBL298734","Farnesyltransferase inhibitor","HGPS","hutchinson-gilford progeria syndrome","MONDO_0008310","Other","P, O, B",2020,"ENSG00000257365, ENSG00000168522"
"Oxlumo","Lumasiran","LUMASIRAN","Alnylam","CHEMBL4297779","HAO1-directed siRNA","Hyperoxaluria type 1","primary hyperoxaluria type 1","MONDO_0009823","Other","P, O, B",2020,"ENSG00000101323"
"Danyelza","Naxitamab","NAXITAMAB","Y-mAbs Therapeutics","CHEMBL4297984","GD2-directed mAb","High-risk neuroblastoma","neuroblastoma","EFO_0000621","Oncology","P, O, B, A",2020,""
"Imcivree","Setmelanotide","SETMELANOTIDE","Rhythm","CHEMBL3301624","Melanocortin receptor 4 agonist","Rare genetic diseases of obesity","Bardet-Biedl syndrome","MONDO_0015229","Other","P, O, B",2020,"ENSG00000166603"
"PSMA-11 Ga-68","PSMA-11 Ga-68","PSMA-11 GA-68","UCLA","CHEMBL4297335","Radioactive diagnostic","Imaging, prostate cancer","prostate carcinoma","EFO_0001663","Other","S",2020,"ENSG00000142515"
"Orladeyo","Berotralstat","BEROTRALSTAT","BioCryst","CHEMBL4594271","Plasma kallikrein inhibitor","Hereditary angioedema",NA,"MONDO_0019623","Other","S, O, F",2020,"ENSG00000164344"
"Klisyri","Tirbanibulin","TIRBANIBULIN","Athenex","CHEMBL571546","Microtubule inhibitor","Actinic keratosis","actinic keratosis","EFO_0002496","Other","S",2020,"ENSG00000197122"
"Margenza","Margetuximab","MARGETUXIMAB","MacroGenics","CHEMBL2364649","HER2-directed mAb","HER2-positive breast cancer","HER2 Positive Breast Carcinoma","EFO_1000294","Oncology","S, F",2020,"ENSG00000141736"
"Orgovyx","Relugolix","RELUGOLIX","Myovant Sciences","CHEMBL1800159","GnRH receptor antagonist","Prostate cancer","prostate cancer","MONDO_0008315","Oncology","P",2020,"ENSG00000109163"
"Ebanga","Ansuvimab","ANSUVIMAB","Ridgeback","CHEMBL4594388","Ebola glycoprotein-directed mAb","Ebola virus","Ebola hemorrhagic fever","EFO_0007243","Other","P, O, B",2020,""
"Gemtesa","Vibegron","VIBEGRON","Urovant Sciences","CHEMBL2107826","Beta-3 adrenergic receptor agonist","Overactive bladder","overactive bladder","EFO_1000781","Other","S",2020,"ENSG00000188778"
"Verquvo","Vericiguat","Vericiguat","Merck & Co./Bayer","CHEMBL4066936","sGC stimulator","Chronic heart failure","coronary artery disease","EFO_0001645","Other","P, F",2021,"ENSG00000123201, ENSG00000061918, ENSG00000152402, ENSG00000164116"
"Cabenuva Kit","Cabotegravir; rilpivirine","Cabotegravir","ViiV","CHEMBL2403238","INSTI and an NNRTI","HIV-1 infection",NA,NA,"Other","P, F",2021,""
"Cabenuva Kit","Cabotegravir; rilpivirine","rilpivirine","ViiV","CHEMBL175691","INSTI and an NNRTI","HIV-1 infection",NA,NA,"Other","P, F",2021,""
"Lupkynis","Voclosporin","Voclosporin","Aurinia","CHEMBL2218919","Calcineurin inhibitor","Lupus nephritis","lupus nephritis","EFO_0005761","Other","P, F",2021,"ENSG00000138814"
"Tepmetko","Tepotinib","Tepotinib","EMD Serono","CHEMBL3402762","MET kinase inhibitor","NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, A",2021,"ENSG00000105976"
"Ukoniq","Umbralisib","Umbralisib","TG Therapeutics","CHEMBL3948730","PI3Kdelta and CK1epsilon inhibitor","MZL, follicular lymphoma","MZL; follicular lymphoma","EFO_1000630; MONDO_0018906","Oncology","P, O, B, A",2021,"ENSG00000171608, ENSG00000097007, ENSG00000213923"
"Evkeeza","Evinacumab","Evinacumab","Regeneron","CHEMBL3545191","ANGPTL3-targeted mAb","HoFH","homozygous familial hypercholesterolemia","MONDO_0018328","Other","P, O, B",2021,"ENSG00000132855"
"Cosela","Trilaciclib","Trilaciclib","G1 Therapeutics","CHEMBL3894860","CDK4 and CDK6 kinase inhibitor","Chemotherapy-induced myelosuppression","myelosuppression; small cell lung carcinoma","EFO_0007053; EFO_0000702","Oncology","P, B",2021,"ENSG00000135446, ENSG00000105810"
"Amondys 45","Casimersen","Casimersen","Sarepta","CHEMBL4297566","Exon 45-skipping ASO","DMD","Duchenne muscular dystrophy","MONDO_0010679","Other","P, O, A, F",2021,"ENSG00000198947"
"Nulibry","Fosdenopterin","Fosdenopterin","BridgeBio","CHEMBL2338675","cPMP","MoCD type A","sulfite oxidase deficiency due to molybdenum cofactor deficiency","MONDO_0020480","Other","P, O, B",2021,"ENSG00000164172"
"Pepaxto","Melphalan flufenamide","Melphalan flufenamide","Oncopeptides","CHEMBL4303060","Peptide-conjugated alkylating drug","Multiple myeloma","multiple myeloma","EFO_0001378","Oncology","P, O, A",2021,""
"Azstarys","Dexmethylphenidate; serdexmethylphenidate","Dexmethylphenidate","Commave Therapeutics","CHEMBL827","CNS stimulant","ADHD","attention deficit hyperactivity disorder","EFO_0003888","Other","S",2021,"ENSG00000103546, ENSG00000142319"
"Azstarys","Dexmethylphenidate; serdexmethylphenidate","serdexmethylphenidate","Commave Therapeutics","CHEMBL4301162","CNS stimulant","ADHD","attention deficit hyperactivity disorder","EFO_0003888","Other","S",2021,"ENSG00000142319, ENSG00000103546"
"Fotivda","Tivozanib","Tivozanib","Aveo","CHEMBL1289494","VEGFR kinase inhibitor","Renal cell carcinoma","renal cell carcinoma","EFO_0000681","Oncology","S",2021,"ENSG00000102755, ENSG00000128052, ENSG00000037280, ENSG00000157404, ENSG00000113721"
"Ponvory","Ponesimod","Ponesimod","J&J","CHEMBL1096146","S1P receptor modulator","Relapsing multiple sclerosis","multiple sclerosis","MONDO_0005301","Other","S",2021,"ENSG00000170989"
"Zegalogue","Dasiglucagon","Dasiglucagon","Zealand Pharma","CHEMBL4297741","Glucagon receptor agonist","Severe hypoglycaemia","GCGR-related hyperglucagonemia","EFO_0001360","Other","S",2021,"ENSG00000215644"
"Qelbree","Viloxazine","Viloxazine","Supernus","CHEMBL306700","SNRI","ADHD","attention deficit hyperactivity disorder","EFO_0003888","Other","S",2021,"ENSG00000103546"
"Nextstellis","Drospirenone; estetrol","Drospirenone","Mayne Pharma","CHEMBL1509","Spironolactone and oestrogen analogues","To prevent pregnancy","reproductive behaviour measurement","EFO_0007862","Other","S",2021,"ENSG00000151623, ENSG00000082175"
"Nextstellis","Drospirenone; estetrol","estetrol","Mayne Pharma","CHEMBL1230314","Spironolactone and oestrogen analogues","To prevent pregnancy","reproductive behaviour measurement","EFO_0007862","Other","S",2021,"ENSG00000091831, ENSG00000140009"
"Jemperli","Dostarlimab","Dostarlimab","GlaxoSmithKline","CHEMBL4298124","PD1-targeted mAb","Endometrial cancer","endometrial cancer","MONDO_0011962","Oncology","P, B, A",2021,"ENSG00000188389"
"Zynlonta","Loncastuximab tesirine","Loncastuximab tesirine","ADC Therapeutics","CHEMBL4297778","CD19-targeted ADC","B-cell lymphoma","B-cell non-Hodgkins lymphoma","EFO_1001938","Oncology","P, O, A",2021,"ENSG00000177455"
"Empaveli","Pegcetacoplan","Pegcetacoplan","Apellis","CHEMBL4298211","Complement protein C3 inhibitor","PNH","paroxysmal nocturnal hemoglobinuria","MONDO_0100244","Other","P, O, F",2021,"ENSG00000125730"
"Rybrevant","Amivantamab","Amivantamab","J&J","CHEMBL4297774","EGFRxMETR bispecific antibody","EGFR exon 20-mutated NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, B, A",2021,"ENSG00000105976, ENSG00000146648"
"Pylarify","Piflufolastat F-18","Piflufolastat F-18","Progenics","CHEMBL4297334","Radiolabelled PSMA imaging agent","Prostate cancer imaging","prostate carcinoma","EFO_0001663","Other","P",2021,"ENSG00000086205"
"Truseltiq","Infigratinib","Infigratinib","BridgeBio","CHEMBL1852688","FGFR2 kinase inhibitor","FGFR2-mutated bile duct cancer","bile duct cancer","MONDO_0003059","Oncology","P, O, A, F",2021,"ENSG00000160867, ENSG00000068078, ENSG00000066468, ENSG00000077782"
"Lumakras","Sotorasib","Sotorasib","Amgen","CHEMBL4535757","KRAS-G12C inhibitor","KRASG12C-mutated NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A, F",2021,"ENSG00000133703"
"Lybalvi","Olanzapine; samidorphan","samidorphan","Alkermes","CHEMBL426084","Atypical antipsychotic and opioid antagonist","Schizophrenia and bipolar I disorder","Schizophrenia; bipolar I disorder","MONDO_0005090; EFO_0009963","Other","S",2021,"ENSG00000112038, ENSG00000116329, ENSG00000082556"
"Lybalvi","Olanzapine; samidorphan","Olanzapine","Alkermes","CHEMBL715","Atypical antipsychotic and opioid antagonist","Schizophrenia and bipolar I disorder","Schizophrenia; bipolar I disorder","MONDO_0005090; EFO_0009963","Other","S",2021,"ENSG00000102468, ENSG00000147246, ENSG00000151577, ENSG00000069696, ENSG00000149295"
"Brexafemme","Ibrexafungerp","Ibrexafungerp","Scynexis","CHEMBL4297513","Triterpenoid antifungal","Vulvovaginal candidiasis",NA,NA,"Other","P, F",2021,""
"Aduhelm","Aducanumab","Aducanumab","Biogen/Eisai","CHEMBL3039540","Amyloid-beta-targeted mAb","Alzheimers disease","Alzheimers disease","MONDO_0004975","Other","P, A, F",2021,"ENSG00000142192"
"Rylaze","Asparaginase erwinia chrysanthemi","Asparaginase erwinia chrysanthemi","Jazz","CHEMBL1863514","Recombinant asparagine-specific enzyme","ALL and LBL, in patients allergic to E. coli-derived products","acute lymphoblastic leukemia; lymphoblastic lymphoma","EFO_0000220; MONDO_0000873","Oncology","S, O, F",2021,""
"Kerendia","Finerenone","Finerenone","Bayer","CHEMBL2181927","Non-steroidal MR antagonist","CKD with type 2 diabetes","chronic kidney disease","EFO_0003884","Other","P, F",2021,"ENSG00000151623"
"Fexinidazole","Fexinidazole","Fexinidazole","Sanofi/DNDi","CHEMBL1631694","Nitroimidazole antimicrobial","Sleeping sickness",NA,NA,"Other","P, O",2021,""
"Rezurock","Belumosudil","Belumosudil","Kadmon","CHEMBL2005186","ROCK2 kinase inhibitor","Chronic GVHD","graft versus host disease","MONDO_0013730","Other","P, O, B",2021,"ENSG00000134318, ENSG00000067900"
"Bylvay","Odevixibat","Odevixibat","Albireo","CHEMBL4297588","IBAT inhibitor","Pruritus in PFIC","familial intrahepatic cholestasis","MONDO_0017290","Other","P, O, F",2021,"ENSG00000125255"
"Saphnelo","Anifrolumab","Anifrolumab","AstraZeneca","CHEMBL2364653","IFNAR-targeted mAb","SLE","systemic lupus erythematosus","MONDO_0007915","Other","S, F",2021,"ENSG00000142166"
"Nexviazyme","Avalglucosidase alfa","Avalglucosidase alfa","Sanofi","CHEMBL4594320","Recombinant alpha-glucosidase","Pompe disease","glycogen storage disease II","MONDO_0009290","Other","P, O, B, F",2021,"ENSG00000171298"
"Welireg","Belzutifan","Belzutifan","Merck & Co.","CHEMBL4585668","HIF-2alpha inhibitor","von Hippel-Lindau disease","von Hippel-Lindau disease","MONDO_0008667","Oncology","P, O",2021,"ENSG00000116016"
"Korsuva","Difelikefalin","Difelikefalin","Cara Therapeutics","CHEMBL3989915","kappa-Opioid receptor agonist","Pruritus associated with CKD","chronic kidney disease","EFO_0003884","Other","P, B",2021,"ENSG00000082556"
"Skytrofa","Lonapegsomatropin","Lonapegsomatropin","Ascendis Pharma","CHEMBL4298185","PEGylated human growth hormone","Growth failure due to GHD","Growth delay","HP_0001510","Other","S, O",2021,"ENSG00000112964"
"Exkivity","Mobocertinib","Mobocertinib","Takeda","CHEMBL4650319","EGFR kinase inhibitor","EGFR exon 20-mutated NSCLC","non-small cell lung carcinoma","EFO_0003060","Oncology","P, O, B, A, F",2021,"ENSG00000146648"
"Tivdak","Tisotumab vedotin","Tisotumab vedotin","Seagen/Genmab","CHEMBL4297841","Tissue-factor-directed ADC","Cervical cancer","cervical cancer","MONDO_0002974","Oncology","P, A",2021,"ENSG00000117525, ENSG00000167552, ENSG00000258947, ENSG00000137267, ENSG00000188229, ENSG00000176014, ENSG00000261456, ENSG00000123416, ENSG00000198033, ENSG00000196230, ENSG00000167553, ENSG00000152086, ENSG00000104833, ENSG00000137285, ENSG00000101162, ENSG00000127824"
"Qulipta","Atogepant","Atogepant","AbbVie","CHEMBL3991065","CGRP receptor antagonist","Episodic migraine","migraine disorder","MONDO_0005277","Other","S",2021,"ENSG00000064989"
"Livmarli","Maralixibat","Maralixibat","Mirum","CHEMBL363392","IBAT inhibitor","Pruritus in Alagille syndrome","Alagille syndrome","MONDO_0007318","Other","P, O, B",2021,"ENSG00000125255"
"Tavneos","Avacopan","Avacopan","ChemoCentryx","CHEMBL3989871","Complement 5a receptor antagonist","ANCA-associated vasculitis","Anti-neutrophil cytoplasmic antibody-associated vasculitis","MONDO_0015492","Other","S, O",2021,"ENSG00000197405"
"Scemblix","Asciminib","Asciminib","Novartis","CHEMBL4208229","ABL/BCR-ABL1  kinase inhibitor","Ph+ CML","Blast Phase Chronic Myelogenous Leukemia; BCR-ABL1 Positive","EFO_1000131","Oncology","P, O, B, A, F",2021,"ENSG00000097007"
"Besremi","Ropeginterferon alfa-2b","Ropeginterferon alfa-2b","Pharmaessentia","CHEMBL4297819","PEGylated interferon alpha-2b","Polycythaemia vera","polycythemia vera","EFO_0002429","Oncology","S, O",2021,"ENSG00000142166, ENSG00000159110"
"Voxzogo","Vosoritide","Vosoritide","Biomarin","CHEMBL3707276","CNP analogue","Achondroplasia","achondroplasia","MONDO_0007037","Other","P, O, A",2021,"ENSG00000159899"
"Livtencity","Maribavir","Maribavir","Takeda","CHEMBL515408","CMV pUL97 kinase inhibitor","Post-transplant CMV infection",NA,NA,"Other","P, O, B",2021,""
"Cytalux","Pafolacianine","Pafolacianine","On Target Labs","CHEMBL4297412","Fluorescent FR imaging agent","Ovarian cancer imaging","ovarian carcinoma","EFO_0001075","Other","P, O, F",2021,"ENSG00000110195"
"Vyvgart","Efgartigimod alfa","Efgartigimod alfa","Argenx","CHEMBL4297551","FcRn-binding Fc fragment","Myasthenia gravis",NA,"EFO_0004991","Other","S, O, F",2021,"ENSG00000104870"
"Tezspire","Tezepelumab","Tezepelumab","Astrazeneca/Amgen","CHEMBL3707229","TSLP-targeted mAb","Severe asthma","asthma","MONDO_0004979","Other","P",2021,"ENSG00000145777"
