Brand_name,Drug_name_original,Drug_name,DrugId,targetIds,Sponsor,Properties,TA,TA_check,Indication,Indication_EFO,DiseaseId,Review_type,Year,has_GE,comment,Disease_class
Enjaymo,Sutimlimab,Sutimlimab,CHEMBL4297832,ENSG00000182326,Bioverativ,C1s-targeted mAb,Other,Other indication,RBC transfusion due to haemolysis in CAD (cold agglutinin disease),"Anemia, Hemolytic, Autoimmune",EFO_1001264,"P, O, B",2022,FALSE,Symptomatic,Severe
Enspryng,Satralizumab,SATRALIZUMAB,CHEMBL3833307,"ENSG00000160712, ENSG00000134352",Roche/Genentech,IL-6R-directed mAb,Other,Other indication,NMOSD,neuromyelitis optica,EFO_0004256,"S, O, B, F",2020,TRUE,,Severe
Entresto,Sacubitril; valsartan,SACUBITRIL; VALSARTAN,CHEMBL3137301; CHEMBL1069,ENSG00000196549; ENSG00000144891,Novartis,A neprilysin inhibitor plus an angiotensin II receptor blocker,Other,Other indication,Chronic heart failure,congestive heart failure,EFO_0000373,"P, F",2015,TRUE,,Severe
Entyvio,Vedolizumab,VEDOLIZUMAB,CHEMBL1743087,"ENSG00000115232, ENSG00000139626",Takeda,Integrin-receptor antagonist,Other,Other indication,Ulcerative colitis and Crohn's disease,ulcerative colitis; Crohn's disease,EFO_0000729; EFO_0000384,"P, F",2014,TRUE,,Severe
Epclusa,Sofosbuvir; velpatasvir,SOFOSBUVIR; VELPATASVIR,CHEMBL1259059; CHEMBL3545062,NA; NA,Gilead Sciences,A nucleotide analogue NS5B polymerase inhibitor plus an HCV NS5A inhibitor,Other,No human target,"genotype 1, 2, 3 or 4 chronic hepatitis C virus (HCV)",hepatitis C virus infection,EFO_0003047,"P, B, F",2016,NA,,Severe
Epidiolex,Cannabidiol,CANNABIDIOL,CHEMBL190461,ENSG00000118432,GW Pharmaceuticals,Cannabinoid,Other,Other indication,Dravet syndrome and Lennox-Gastaut syndrome,Dravet syndrome; Lennox-Gastaut syndrome,Orphanet_33069; MONDO_0016532,"P, O, F",2018,TRUE,,Severe
Erleada,Apalutamide,APALUTAMIDE,CHEMBL3183409,ENSG00000169083,Johnson & Johnson,Androgen receptor inhibitor,Oncology,Oncology,Prostate cancer,prostate cancer,MONDO_0008315,"P, F",2018,TRUE,,Severe
Esbriet,Pirfenidone,PIRFENIDONE,CHEMBL1256391,NA,InterMune,MOA unknown,Other,No human target,IPF (idiopathic pulmonary fibrosis),idiopathic pulmonary fibrosis,EFO_0000768,"P, O, B, F",2014,NA,,Severe
Eucrisa,Crisaborole,CRISABOROLE,CHEMBL484785,"ENSG00000184588, ENSG00000113448, ENSG00000065989, ENSG00000105650",Pfizer/Anacor Pharmaceuticals,PDE4 inhibitor,Other,Other indication,Atopic dermatitis,atopic eczema,EFO_0000274,S,2016,TRUE,,Non Severe
Evenity,Romosozumab,ROMOSOZUMAB,CHEMBL2107874,ENSG00000167941,Amgen,Sclerostin inhibitor,Other,Other indication,Osteoporosis,osteoporosis,EFO_0003882,S,2019,TRUE,,Non severe
Evkeeza,Evinacumab,Evinacumab,CHEMBL3545191,ENSG00000132855,Regeneron,ANGPTL3-targeted mAb,Other,Other indication,HoFH,homozygous familial hypercholesterolemia,MONDO_0018328,"P, O, B",2021,TRUE,,Severe
Evrysdi,Risdiplam,RISDIPLAM,CHEMBL4297528,ENSG00000205571,Roche/Genentech,SMN2 splicing modifier,Other,Other indication,Spinal muscular atrophy,spinal muscular atrophy,EFO_0008525,"P, O, F",2020,TRUE,,Severe
ExEm Foam,Air polymer-type A,AIR POLYMER-TYPE A,CHEMBL4594264,NA,Giskit,Ultrasound contrast agent,Other,No human target,Assess fallopian tube patency in women with known or suspected infertility,infertility,EFO_0000545,S,2019,NA,,Non Severe
Exkivity,Mobocertinib,Mobocertinib,CHEMBL4650319,ENSG00000146648,Takeda,EGFR kinase inhibitor,Oncology,Oncology,EGFR exon 20-mutated NSCLC,non-small cell lung carcinoma,EFO_0003060,"P, O, B, A, F",2021,TRUE,,Severe
Exondys 51,Eteplirsen,ETEPLIRSEN,CHEMBL2108278,ENSG00000198947,Sarepta Therapeutics,ASO designed to target dystrophin pre-mRNA,Other,Other indication,Duchenne muscular dystrophy,Duchenne muscular dystrophy,MONDO_0010679,"P, O, A, F",2016,TRUE,,Severe
Farxiga,Dapagliflozin,DAPAGLIFLOZIN,CHEMBL429910,ENSG00000140675,AstraZeneca,SGLT2 inhibitor,Other,Other indication,Type 2 diabetes,type 2 diabetes mellitus,MONDO_0005148,"S, F",2014,TRUE,,Non Severe
Farydak,Panobinostat,PANOBINOSTAT,CHEMBL483254,"ENSG00000100429, ENSG00000196591, ENSG00000163517, ENSG00000061273, ENSG00000068024, ENSG00000048052, ENSG00000116478, ENSG00000108840, ENSG00000094631, ENSG00000171720, ENSG00000147099",Novartis,Histone deacetylase inhibitor,Oncology,Oncology,Multiple myeloma,multiple myeloma,EFO_0001378,"P, O, A",2015,TRUE,,Severe
Fasenra,Benralizumab,BENRALIZUMAB,CHEMBL1742991,ENSG00000091181,AstraZeneca,IL-5Ralpha-directed monoclonal antibody,Other,Other indication,Severe asthma,Status Asthmaticus,EFO_0008590,S,2017,FALSE,,Severe
Fetroja,Cefiderocol,CEFIDEROCOL,CHEMBL3989974,NA,Shionogi,Cephalosporin antibacterial,Other,No human target,Complicated urinary tract infections,urinary tract infection,EFO_0003103,"P, F",2019,NA,,Non Severe
Fexinidazole,Fexinidazole,Fexinidazole,CHEMBL1631694,NA,Sanofi/DNDi,Nitroimidazole antimicrobial,Other,No human target,Sleeping sickness,NA,NA,"P, O",2021,NA,,NA
Firdapse,Amifampridine,AMIFAMPRIDINE,CHEMBL354077,"ENSG00000130037, ENSG00000182255, ENSG00000173826, ENSG00000111262, ENSG00000178342, ENSG00000131398, ENSG00000140015, ENSG00000055118, ENSG00000168418, ENSG00000143473, ENSG00000183960, ENSG00000151079, ENSG00000184408, ENSG00000116396, ENSG00000171126, ENSG00000168263, ENSG00000026559, ENSG00000170745, ENSG00000185760, ENSG00000135519, ENSG00000184156, ENSG00000075043, ENSG00000117013, ENSG00000158445, ENSG00000166006, ENSG00000129159, ENSG00000124134, ENSG00000156486, ENSG00000143105, ENSG00000182674, ENSG00000053918, ENSG00000089558, ENSG00000177301, ENSG00000162975, ENSG00000102057, ENSG00000184611, ENSG00000171385, ENSG00000177272, ENSG00000104848, ENSG00000164794",Catalyst Pharmaceuticals,Potassium channel blocker,Other,Other indication,Lambert-Eaton myasthenic syndrome,Lambert-Eaton myasthenic syndrome,Orphanet_43393,"P, O",2018,FALSE,Symptomatic,Severe
Flortaucipir F-18,Flortaucipir F-18,FLORTAUCIPIR F-18,CHEMBL3545253,ENSG00000186868,Eli Lilly,Radioactive diagnostic,Other,Other indication,"Imaging, tau in Alzheimer disease",Alzheimer disease,MONDO_0004975,P,2020,TRUE,Imaging,Severe
Fluorodopa F-18,Fluorodopa F-18,FLUORODOPA F-18,CHEMBL3400972,NA,Feinstein Institutes,Radioactive diagnostic,Other,No human target,Diagnosis of parkinsonian syndromes,Parkinson disease,MONDO_0005180,S,2019,NA,,Severe
Fluoroestradiol F-18,Fluoroestradiol F-18,FLUOROESTRADIOL F-18,CHEMBL4594261,ENSG00000186868,Zionexa,Radioactive diagnostic,Other,Other indication,"Imaging, breast cancer",breast carcinoma,EFO_0000305,S,2020,TRUE,Imaging,Severe
Fotivda,Tivozanib,Tivozanib,CHEMBL1289494,"ENSG00000102755, ENSG00000128052, ENSG00000037280, ENSG00000157404, ENSG00000113721",Aveo,VEGFR kinase inhibitor,Oncology,Oncology,Renal cell carcinoma,renal cell carcinoma,EFO_0000681,S,2021,TRUE,,Severe
Galafold,Migalastat,MIGALASTAT,CHEMBL110458,ENSG00000102393,Amicus Therapeutics,beta-galactosidase regulator,Other,Other indication,Fabry disease,fabry disease,MONDO_0010526,"P, O, A, F",2018,TRUE,,Severe
Gallium dotatoc Ga-68,Gallium dotatoc Ga-68,GALLIUM DOTATOC GA-68,CHEMBL4297340,ENSG00000180616,UIHC PET Imaging Center,Radioactive diagnostic,Other,Other indication,Localization of somatostatin receptor-positive neuroendocrine tumours,neuroendocrine neoplasm,EFO_1001901,"S, O",2019,TRUE,,Severe
Gamifant,Emapalumab,EMAPALUMAB,CHEMBL3989977,ENSG00000111537,Novimmune,Interferon-‚âà√≠‚Äö√¢‚Ä¢-blocking antibody,Other,Other indication,Primary haemophagocytic lymphohistiocytosis,genetic hemophagocytic lymphohistiocytosis,MONDO_0015541,"P, O, B",2018,TRUE,,Severe
Gavreto,Pralsetinib,PRALSETINIB,CHEMBL4582651,"ENSG00000170759, ENSG00000165731, ENSG00000108091",Blueprint Medicines/Roche,RET kinase inhibitor,Oncology,Oncology,RET fusion-positive NSCLC,non-small cell lung carcinoma,EFO_0003060,"P, O, B, A",2020,TRUE,,Severe
Gazyva,Obinutuzumab,OBINUTUZUMAB,CHEMBL1743048,ENSG00000156738,Genentech,Humanized CD20-specific monoclonal antibody,Oncology,Oncology,Previously untreated chronic lymphocytic leukaemia,chronic lymphocytic leukemia,EFO_0000095,"P, O, B",2013,TRUE,,Severe
Gemtesa,Vibegron,VIBEGRON,CHEMBL2107826,ENSG00000188778,Urovant Sciences,Beta-3 adrenergic receptor agonist,Other,Other indication,Overactive bladder,overactive bladder,EFO_1000781,S,2020,FALSE,Symptomatic,Non Severe
Genvoya,Elvitegravir; cobicistat; emtricitabine; tenofovir,ELVITEGRAVIR; COBICISTAT; EMTRICITABINE; TENOFOVIR,CHEMBL204656; CHEMBL2095208; CHEMBL885; CHEMBL483,"NA; ENSG00000160870, ENSG00000106258, ENSG00000160868, ENSG00000021461; NA; NA",Gilead,An INSTI plus a CYP3A inhibitor plus two nucleoside analogue reverse transcriptase inhibitors,Other,No human target,HIV,HIV infection,EFO_0000764,"S, F",2015,NA,,Severe
Giapreza,Angiotensin II,ANGIOTENSIN II,CHEMBL408403,ENSG00000144891,La Jolla Pharmaceutical Company,Synthetic human angiotensin,Other,Other indication,Blood pressure in adults with septic or other distributive shock,septic shock; blood pressure,EFO_0006834; EFO_0004325,P,2017,TRUE,,Severe
Gilotrif,Afatinib,AFATINIB,CHEMBL1173655,"ENSG00000141736, ENSG00000146648, ENSG00000178568",Boehringer Ingelheim,"EGFR (ERBB1), HER2 (ERBB2), and HER4 (ERRB4) kinase inhibitor",Oncology,Oncology,First-line treatment of patients with metastatic NSCLC whose tumours have EGFR exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test,non-small cell lung carcinoma,EFO_0003060,"P, O, F",2013,TRUE,,Severe
Givlaari,Givosiran,GIVOSIRAN,CHEMBL4297760,ENSG00000023330,Alnylam,ALAS1-directed siRNA,Other,Other indication,Acute hepatic porphyria,acute hepatic porphyria,Orphanet_95157,"P, O, B",2019,FALSE,,Severe
Harvoni,Ledipasvir; sofosbuvir,LEDIPASVIR; SOFOSBUVIR,CHEMBL2374220; CHEMBL1259059,NA; NA,Gilead Sciences,An NS5A inhibitor plus an HCV nucleotide-analogue NS5B-polymerase inhibitor,Other,No human target,Genotype 1 HCV,hepatitis C virus infection,EFO_0003047,"P, B, F",2014,NA,,Severe
Hemlibra,Emicizumab,EMICIZUMAB,CHEMBL3833393,"ENSG00000126218, ENSG00000101981",Roche/Genentech,Bispecific FIX and FX-directed antibody,Other,Other indication,Haemophilia A,hemophilia A,MONDO_0010602,"P, O, B",2017,TRUE,,Severe
Hetlioz,Tasimelteon,TASIMELTEON,CHEMBL2103822,"ENSG00000134640, ENSG00000168412",Vanda,Melatonin-receptor agonist,Other,Other indication,Non-24-hour sleep-wake disorder,sleep-wake disorder,MONDO_0003406,"P, O",2014,TRUE,,Non Severe
Ibrance,Palbociclib,PALBOCICLIB,CHEMBL189963,"ENSG00000135446, ENSG00000110092, ENSG00000105810",Pfizer,CDK4 and CDK6 inhibitor,Oncology,Oncology,"ER-positive, HER2-negative advanced breast cancer",HER2 negative breast carcinoma,EFO_0009780,"P, B, A",2015,TRUE,,Severe
Ibsrela,Tenapanor,TENAPANOR,CHEMBL3304485,ENSG00000066230,Ardelyx,NHE3 inhibitor,Other,Other indication,IBS with constipation,irritable bowel syndrome,EFO_0000555,S,2019,FALSE,,Non severe
Idhifa,Enasidenib mesylate,ENASIDENIB MESYLATE,CHEMBL3989931,ENSG00000182054,Celgene/Agios,IDH2 inhibitor,Oncology,Oncology,IDH2-mutated AML,acute myeloid leukemia,EFO_0000222,"P, O, F",2017,TRUE,,Severe
Ilumya,Tildrakizumab,TILDRAKIZUMAB,CHEMBL2108681,"ENSG00000110944, ENSG00000113302",Sun Pharma,IL-23 antibody,Other,Other indication,Plaque psoriasis,psoriasis vulgaris,EFO_1001494,S,2018,TRUE,,Non severe
Imbruvica,Ibrutinib,IBRUTINIB,CHEMBL1873475,ENSG00000010671,Pharmacyclics,Bruton's tyrosine kinase inhibitor,Oncology,Oncology,Mantle cell lymphoma,Mantle cell lymphoma,EFO_1001469,"P, O, B, F",2013,TRUE,,Severe
Imcivree,Setmelanotide,SETMELANOTIDE,CHEMBL3301624,ENSG00000166603,Rhythm,Melanocortin receptor 4 agonist,Other,Other indication,Rare genetic diseases of obesity,Bardet-Biedl syndrome,MONDO_0015229,"P, O, B",2020,TRUE,,Severe
Imfinzi,Durvalumab,DURVALUMAB,CHEMBL3301587,ENSG00000120217,AstraZeneca,PDL1-blocking antibody,Oncology,Oncology,Urothelial carcinoma,urothelial carcinoma,EFO_0008528,"P, B, A",2017,TRUE,,Severe
Imjudo,Tremelimumab,Tremelimumab,CHEMBL2108658,ENSG00000163599,AstraZeneca,CTLA4-targeted mAb,Oncology,Oncology,Hepatocellular carcinoma,hepatocellular carcinoma,EFO_0000182,"S, O",2022,TRUE,,Severe
Impavido,Miltefosine,MILTEFOSINE,CHEMBL125,NA,Knight,MOA unknown,Other,No human target,Leishmaniasis,Leishmaniasis,EFO_0005044,"P, O, F",2014,NA,,Not concordant
Ingrezza,Valbenazine,VALBENAZINE,CHEMBL2364639,ENSG00000165646,Neurocrine Biosciences,VMAT2 inhibitor,Other,Other indication,Tardive dyskinesia,movement disorder,EFO_0004280,"P, B, F",2017,TRUE,,Not concordant
Inmazeb,Atoltivimab; odesivimab; maftivimab,ATOLTIVIMAB; ODESIVIMAB; MAFTIVIMAB,CHEMBL4298183; CHEMBL4298188; CHEMBL4298184,NA; NA; NA,Regeneron,Cocktail of Ebola glycoprotein-directed mAbs,Other,No human target,Ebola virus,Ebola hemorrhagic fever,EFO_0007243,"P, O, B",2020,NA,,Severe
Inqovi,Cedazuridine; decitabine,CEDAZURIDINE; DECITABINE,CHEMBL3237547; CHEMBL1201129,"ENSG00000158825; ENSG00000119772, ENSG00000130816",Otsuka,Cytidine deaminase inhibitor; nucleoside metabolic inhibitor,Other,Other indication,Myelodysplastic syndromes,myelodysplastic syndrome,EFO_0000198,"P, O",2020,TRUE,,Severe
Inrebic,Fedratinib,FEDRATINIB,CHEMBL1287853,"ENSG00000096968, ENSG00000122025",Celgene/BMS,JAK2 and FLT3 inhibitor,Other,Other indication,Myelofibrosis,myelofibrosis,MONDO_0044903,"P, O",2019,TRUE,,Severe
Invokana,Canagliflozin,CANAGLIFLOZIN; CANAGLIFLOZIN,CHEMBL4594217; CHEMBL2048484,ENSG00000140675; ENSG00000140675,Janssen,SGLT2 inhibitor,Other,Other indication,Type 2 diabetes,type 2 diabetes mellitus,MONDO_0005148,S,2013,TRUE,,Non Severe
Isturisa,Osilodrostat,OSILODROSTAT,CHEMBL3099695,ENSG00000160882,Recordati Rare Diseases,Cortisol synthesis inhibitor,Other,Other indication,Cushing disease,Cushing syndrome,EFO_0003099,"S, O",2020,TRUE,,Not concordant
Jardiance,Empagliflozin,EMPAGLIFLOZIN,CHEMBL2107830,ENSG00000140675,Boehringer Ingelheim,SGLT2 inhibitor,Other,Other indication,Type 2 diabetes,type 2 diabetes mellitus,MONDO_0005148,"S, F",2014,TRUE,,Non Severe
Jemperli,Dostarlimab,Dostarlimab,CHEMBL4298124,ENSG00000188389,GlaxoSmithKline,PD1-targeted mAb,Oncology,Oncology,Endometrial cancer,endometrial cancer,MONDO_0011962,"P, B, A",2021,TRUE,,Severe
Jeuveau,Prabotulinumtoxin A,PRABOTULINUMTOXIN A,CHEMBL4297229,ENSG00000132639,Evolus,Acetylcholine release inhibitor and a neuromuscular blocking agent,Other,Other indication,Glabellar lines associated with corrugator and/or procerus muscle activity,Facial wrinkling,HP_0009762,S,2019,FALSE,Symptomatic,Non severe
Jublia,Efinaconazole,EFINACONAZOLE,CHEMBL2103877,NA,Dow,Azole antifungal,Other,No human target,Onychomycosis of the toenails,paronychia,EFO_0007421,S,2014,NA,,Non severe
Kadcyla,Ado-trastuzumab emtansine,TRASTUZUMAB EMTANSINE,CHEMBL1743082,"ENSG00000167553, ENSG00000196230, ENSG00000137285, ENSG00000123416, ENSG00000176014, ENSG00000137267, ENSG00000101162, ENSG00000258947, ENSG00000261456, ENSG00000188229, ENSG00000104833, ENSG00000127824, ENSG00000198033, ENSG00000167552, ENSG00000152086, ENSG00000141736",Genentech,HER2-targeted antibody and microtubule inhibitor conjugate,Oncology,Oncology,HER2-positive metastatic breast cancer,HER2 Positive Breast Carcinoma,EFO_1000294,"P, F",2013,TRUE,,Severe
Kanuma,Sebelipase alfa,SEBELIPASE ALFA,CHEMBL3039537,ENSG00000107798,Alexion,Enzyme replacement therapy,Other,Other indication,LAL deficiency,lysosomal acid lipase deficiency,MONDO_0010204,"P, O, B, F",2015,TRUE,,Severe
Kengreal,Cangrelor,CANGRELOR,CHEMBL334966,ENSG00000169313,Medicines Company,P2Y12 platelet inhibitor,Other,Other indication,"Myocardial infarction, repeat coronary revascularization, and stent thrombosis",myocardial infarction,EFO_0000612,S,2015,FALSE,,Severe
Kerendia,Finerenone,Finerenone,CHEMBL2181927,ENSG00000151623,Bayer,Non-steroidal MR antagonist,Other,Other indication,CKD with type 2 diabetes,chronic kidney disease,EFO_0003884,"P, F",2021,TRUE,,Severe
Kerydin,Tavaborole,TAVABOROLE,CHEMBL443052,NA,Anacor,Oxaborole antifungal,Other,No human target,Onychomycosis of the toenails,paronychia,EFO_0007421,S,2014,NA,,Non severe
Kevzara,Sarilumab,SARILUMAB,CHEMBL2108730,ENSG00000160712,Sanofi/Regeneron,IL-6 receptor antagonist,Other,Other indication,Rheumatoid arthritis,rheumatoid arthritis,EFO_0000685,S,2017,TRUE,,Severe
Keytruda,Pembrolizumab,PEMBROLIZUMAB,CHEMBL3137343,ENSG00000188389,Merck & Co.,PD1-specific antibody,Oncology,Oncology,Metastatic melanoma *and others (2021 approval),metastatic melanoma,EFO_0002617,"P, O, B, A",2014,FALSE,,Severe
Kimmtrak,Tebentafusp,Tebentafusp,CHEMBL4297990,ENSG00000185664,Immunocore,gp100 peptide HLA _ CD3 bispecific T-cell engager,Oncology,Oncology,Uveal melanoma,Uveal Melanoma,EFO_1000616,"P, O, B",2022,FALSE,,Severe
Kisqali,Ribociclib,RIBOCICLIB,CHEMBL3545110,"ENSG00000105810, ENSG00000135446",Novartis,CDK4/6 inhibitor,Oncology,Oncology,"HR-positive, HER2-negative breast cancer",HER2 negative breast carcinoma,EFO_0009780,"P, B",2017,TRUE,,Severe
Klisyri,Tirbanibulin,TIRBANIBULIN,CHEMBL571546,ENSG00000197122,Athenex,Microtubule inhibitor,Other,Other indication,Actinic keratosis,actinic keratosis,EFO_0002496,S,2020,TRUE,,Non severe
Korsuva,Difelikefalin,Difelikefalin,CHEMBL3989915,ENSG00000082556,Cara Therapeutics,kappa-Opioid receptor agonist,Other,Other indication,Pruritus associated with CKD,chronic kidney disease,EFO_0003884,"P, B",2021,FALSE,Symptomatic,Severe
Koselugo,Selumetinib,SELUMETINIB,CHEMBL1614701,"ENSG00000169032, ENSG00000126934",AstraZeneca,MEK1/2 kinase inhibitor,Other,Other indication,Neurofibromatosis type 1,neurofibromatosis type 1,MONDO_0018975,"P, O, B",2020,TRUE,,Severe
Krazati,Adagrasib,Adagrasib,CHEMBL4594350,ENSG00000133703,Mirati,KRAS-G12C inhibitor,Oncology,Oncology,KRASG12C-mutated NSCLC,non-small cell lung carcinoma,EFO_0003060,"S, O, B, A, F",2022,TRUE,,Severe
Krintafel,Tafenoquine,TAFENOQUINE,CHEMBL298470,NA,Medicines for Malaria Venture/GlaxoSmithKline,8-Aminoquinoline antimalarial,Other,No human target,Plasmodium vivax malaria,Plasmodium vivax malaria,EFO_0007445,"P, O, B, F",2018,NA,,Severe
Kybella,Deoxycholic acid,DEOXYCHOLIC ACID,CHEMBL406393,NA,Kythera,Cytolytic drug,Other,No human target,Fat below the chin,body fat distribution,EFO_0004341,S,2015,NA,,Non severe
Kynamro,Mipomersen,MIPOMERSEN,CHEMBL2219536,ENSG00000084674,Genzyme,Oligonucleotide inhibitor of apolipoprotein B100 synthesis,Other,Other indication,Homozygous familial hypercholesterolaemia,homozygous familial hypercholesterolemia,MONDO_0018328,"S, O",2013,TRUE,,Severe
Lampit,Nifurtimox,NIFURTIMOX,CHEMBL290960,NA,Bayer,Nitrofuran antiprotozoal,Other,No human target,Chagas disease,chagas disease,MONDO_0001444,"P, O, A",2020,NA,,Severe
Lartruvo,Olaratumab,OLARATUMAB,CHEMBL1743049,ENSG00000134853,Eli Lilly,PDGFRalpha-blocking antibody,Oncology,Oncology,Soft tissue sarcoma,soft tissue sarcoma,EFO_1001968,"P, O, B, A, F",2016,TRUE,,Severe
Lenvima,Lenvatinib,LENVATINIB,CHEMBL1289601,"ENSG00000037280, ENSG00000128052, ENSG00000102755",Eisai,VEGFR inhibitor,Oncology,Oncology,Thyroid cancer,thyroid cancer,MONDO_0002108,"P, O",2015,TRUE,,Severe
Leqvio,Inclisiran,Inclisiran,CHEMBL3990033,ENSG00000169174,Novartis/Alnylam,PCSK9-targeted siRNA,Other,Other indication,HeFH or ASCVD,coronary atherosclerosis,MONDO_0021661,S,2021,TRUE,,Severe
Libtayo,Cemiplimab,CEMIPLIMAB,CHEMBL4297723,ENSG00000188389,Regeneron/Sanofi,PD1 antibody,Oncology,Oncology,"CSCC, BCC(*), NSCLC(*)",cutaneous squamous cell carcinoma; basal cell carcinoma; non-small cell lung carcinoma,EFO_1001927; EFO_0004193; EFO_0003060,"P, B",2018,TRUE,,Severe
Livmarli,Maralixibat,Maralixibat,CHEMBL363392,ENSG00000125255,Mirum,IBAT inhibitor,Other,Other indication,Pruritus in Alagille syndrome,Alagille syndrome,MONDO_0007318,"P, O, B",2021,TRUE,,Severe
Livtencity,Maribavir,Maribavir,CHEMBL515408,NA,Takeda,CMV pUL97 kinase inhibitor,Other,No human target,Post-transplant CMV infection,NA,NA,"P, O, B",2021,NA,,NA
Lokelma,Sodium zirconium cyclosilicate,SODIUM ZIRCONIUM CYCLOSILICATE,CHEMBL3301592,NA,AstraZeneca,Potassium binder,Other,No human target,Hyperkalaemia,hyperkalemia,HP_0002153,S,2018,NA,,Not concordant
Lonsurf,Tipiracil; trifluridine,TIPIRACIL; TRIFLURIDINE,CHEMBL235668; CHEMBL1129,ENSG00000025708; ENSG00000176890,Taiho,Thymidine phosphorylase inhibitor plus a nucleoside metabolic inhibitor,Oncology,Oncology,Colorectal cancer,colorectal cancer,EFO_0005842,"S, F",2015,TRUE,,Severe
Lorbrena,Lorlatinib,LORLATINIB,CHEMBL3286830,"ENSG00000171094, ENSG00000143924",Pfizer,ALK and ROS1 inhibitor,Oncology,Oncology,ALK-positive NSCLC,non-small cell lung carcinoma,EFO_0003060,"P, O, B, A",2018,TRUE,,Severe
Lucemyra,Lofexidine,LOFEXIDINE,CHEMBL17860,"ENSG00000150594, ENSG00000274286, ENSG00000184160",US WorldMeds,beta2-adrenoceptor agonist,Other,Other indication,Opioid withdrawal,opioid dependence,EFO_0005611,"P, F",2018,FALSE,Symptomatic,Non severe
Lumakras,Sotorasib,Sotorasib,CHEMBL4535757,ENSG00000133703,Amgen,KRAS-G12C inhibitor,Oncology,Oncology,KRASG12C-mutated NSCLC,non-small cell lung carcinoma,EFO_0003060,"P, O, B, A, F",2021,TRUE,,Severe
Lumason,Sulfur hexafluoride lipid-type A microspheres,SULFUR HEXAFLUORIDE LIPID-TYPE A MICROSPHERES,NA,NA,Bracco,Ultrasound contrast agent,Other,No human target,Cardiovascular imaging,NA,NA,S,2014,NA,,NA
Lumoxiti,Moxetumomab pasudotox,MOXETUMOMAB PASUDOTOX,CHEMBL1743043,"ENSG00000167658, ENSG00000012124",AstraZeneca,CD22-directed antibody‚Äö√Ñ√∂‚àö√ë‚àö¬®drug conjugate,Oncology,Oncology,Hairy cell leukaemia,hairy cell leukemia,EFO_1000956,"P, O, F",2018,TRUE,,Severe
Lunsumio,Mosunetuzumab,Mosunetuzumab,CHEMBL4297788,"ENSG00000167286, ENSG00000156738, ENSG00000198851, ENSG00000160654",Roche/Genentech,CD20 _ CD3 bispecific antibody,Oncology,Oncology,Follicular lymphoma,follicular lymphoma,MONDO_0018906,"P, O, B, A",2022,TRUE,,Severe
Lupkynis,Voclosporin,Voclosporin,CHEMBL2218919,ENSG00000138814,Aurinia,Calcineurin inhibitor,Other,Other indication,Lupus nephritis,lupus nephritis,EFO_0005761,"P, F",2021,TRUE,,Severe
Lutathera,Lutetium Lu 177 dotatate,LUTETIUM LU 177 DOTATATE,CHEMBL3989924,"ENSG00000139874, ENSG00000162009, ENSG00000278195, ENSG00000132671, ENSG00000180616",Advanced Accelerator Applications/Novartis,Somatostatin receptor-targeted radiopharmaceutical,Oncology,Oncology,GEP-NETs,digestive system neuroendocrine neoplasm,MONDO_0024503,"P, O, F",2018,TRUE,,Severe
Luzu,Luliconazole,LULICONAZOLE,CHEMBL2105689,NA,Medicis,Azole antifungal,Other,No human target,"Interdigital tinea pedis, tinea cruris and tinea corporis caused by Trichophyton rubrum and Epidermophyton floccosum",tinea,EFO_0007510,S,2013,NA,,Non severe
Lybalvi,Olanzapine; samidorphan,samidorphan; Olanzapine,CHEMBL426084; CHEMBL715,"ENSG00000112038, ENSG00000116329, ENSG00000082556; ENSG00000102468, ENSG00000147246, ENSG00000151577, ENSG00000069696, ENSG00000149295",Alkermes,Atypical antipsychotic and opioid antagonist,Other,Other indication,Schizophrenia and bipolar I disorder,Schizophrenia; bipolar I disorder,MONDO_0005090; EFO_0009963,S,2021,TRUE,,Severe
Lymphoseek kit,Technetium TC 99m tilmanocept,TECHNETIUM TC 99M TILMANOCEPT,CHEMBL2108726,ENSG00000260314,Navidea,Radioactive diagnostic agent,Other,Other indication,Lymphatic mapping in patients with breast cancer or melanoma,breast cancer; melanoma,MONDO_0007254; EFO_0000756,S,2013,FALSE,Imaging,Severe
Lynparza,Olaparib,OLAPARIB,CHEMBL521686,"ENSG00000143799, ENSG00000041880, ENSG00000129484",AstraZeneca,PARP inhibitor,Oncology,Oncology,Advanced BRCA-mutated ovarian cancer,ovarian cancer,MONDO_0008170,"P, O, A, F",2014,TRUE,,Severe
Lytgobi,Futibatinib,Futibatinib,CHEMBL3701238,"ENSG00000068078, ENSG00000077782, ENSG00000160867, ENSG00000066468",Taiho Oncology,FGFR kinase inhibitor,Oncology,Oncology,FGFR2-aberrant intrahepatic cholangiocarcinoma,intrahepatic cholangiocarcinoma,EFO_1001961,"P, O, B, A, F",2022,TRUE,,Severe
Macrilen,Macimorelin,MACIMORELIN,CHEMBL278623,ENSG00000121853,Aeterna Zentaris,Growth hormone secretagogue receptor agonist,Other,Other indication,Diagnosis of adult growth hormone deficiency,short stature due to GHSR deficiency,MONDO_0014403,"S, O",2017,TRUE,,Non severe
