"Brand_name","Drug_name_original","Sponsor","Properties","TA","Indication","Indication_EFO","DiseaseId","Year","has_GE","has_GE_ds","Drug_name","DrugId","targetIds"
"Esbriet","Pirfenidone","InterMune","MOA unknown","Other","IPF (idiopathic pulmonary fibrosis)","idiopathic pulmonary fibrosis","EFO_0000768",2014,NA,NA,"PIRFENIDONE","CHEMBL1256391","NA"
"Eucrisa","Crisaborole","Pfizer/Anacor Pharmaceuticals","PDE4 inhibitor","Other","Atopic dermatitis","atopic eczema","EFO_0000274",2016,TRUE,TRUE,"CRISABOROLE","CHEMBL484785","ENSG00000184588, ENSG00000113448, ENSG00000065989, ENSG00000105650"
"Evenity","Romosozumab","Amgen","Sclerostin inhibitor","Other","Osteoporosis","osteoporosis","EFO_0003882",2019,TRUE,TRUE,"ROMOSOZUMAB","CHEMBL2107874","ENSG00000167941"
"Evkeeza","Evinacumab","Regeneron","ANGPTL3-targeted mAb","Other","HoFH","homozygous familial hypercholesterolemia","MONDO_0018328",2021,TRUE,TRUE,"Evinacumab","CHEMBL3545191","ENSG00000132855"
"Evrysdi","Risdiplam","Roche/Genentech","SMN2 splicing modifier","Other","Spinal muscular atrophy","spinal muscular atrophy","EFO_0008525",2020,TRUE,TRUE,"RISDIPLAM","CHEMBL4297528","ENSG00000205571"
"ExEm Foam","Air polymer-type A","Giskit","Ultrasound contrast agent","Other","Assess fallopian tube patency in women with known or suspected infertility","infertility","EFO_0000545",2019,NA,NA,"AIR POLYMER-TYPE A","CHEMBL4594264","NA"
"Exkivity","Mobocertinib","Takeda","EGFR kinase inhibitor","Oncology","EGFR exon 20-mutated NSCLC","non-small cell lung carcinoma","EFO_0003060",2021,TRUE,TRUE,"Mobocertinib","CHEMBL4650319","ENSG00000146648"
"Exondys 51","Eteplirsen","Sarepta Therapeutics","ASO designed to target dystrophin pre-mRNA","Other","Duchenne muscular dystrophy","Duchenne muscular dystrophy","MONDO_0010679",2016,TRUE,TRUE,"ETEPLIRSEN","CHEMBL2108278","ENSG00000198947"
"Farxiga","Dapagliflozin","AstraZeneca","SGLT2 inhibitor","Other","Type 2 diabetes","type 2 diabetes mellitus","MONDO_0005148",2014,TRUE,TRUE,"DAPAGLIFLOZIN","CHEMBL429910","ENSG00000140675"
"Farydak","Panobinostat","Novartis","Histone deacetylase inhibitor","Oncology","Multiple myeloma","multiple myeloma","EFO_0001378",2015,TRUE,TRUE,"PANOBINOSTAT","CHEMBL483254","ENSG00000100429, ENSG00000196591, ENSG00000163517, ENSG00000061273, ENSG00000068024, ENSG00000048052, ENSG00000116478, ENSG00000108840, ENSG00000094631, ENSG00000171720, ENSG00000147099"
"Fasenra","Benralizumab","AstraZeneca","IL-5Ralpha-directed monoclonal antibody","Other","Severe asthma","Status Asthmaticus","EFO_0008590",2017,FALSE,FALSE,"BENRALIZUMAB","CHEMBL1742991","ENSG00000091181"
"Fetroja","Cefiderocol","Shionogi","Cephalosporin antibacterial","Other","Complicated urinary tract infections","urinary tract infection","EFO_0003103",2019,NA,NA,"CEFIDEROCOL","CHEMBL3989974","NA"
"Fexinidazole","Fexinidazole","Sanofi/DNDi","Nitroimidazole antimicrobial","Other","Sleeping sickness",NA,NA,2021,NA,NA,"Fexinidazole","CHEMBL1631694","NA"
"Firdapse","Amifampridine","Catalyst Pharmaceuticals","Potassium channel blocker","Other","Lambert-Eaton myasthenic syndrome","Lambert-Eaton myasthenic syndrome","Orphanet_43393",2018,FALSE,FALSE,"AMIFAMPRIDINE","CHEMBL354077","ENSG00000130037, ENSG00000182255, ENSG00000173826, ENSG00000111262, ENSG00000178342, ENSG00000131398, ENSG00000140015, ENSG00000055118, ENSG00000168418, ENSG00000143473, ENSG00000183960, ENSG00000151079, ENSG00000184408, ENSG00000116396, ENSG00000171126, ENSG00000168263, ENSG00000026559, ENSG00000170745, ENSG00000185760, ENSG00000135519, ENSG00000184156, ENSG00000075043, ENSG00000117013, ENSG00000158445, ENSG00000166006, ENSG00000129159, ENSG00000124134, ENSG00000156486, ENSG00000143105, ENSG00000182674, ENSG00000053918, ENSG00000089558, ENSG00000177301, ENSG00000162975, ENSG00000102057, ENSG00000184611, ENSG00000171385, ENSG00000177272, ENSG00000104848, ENSG00000164794"
"Flortaucipir F-18","Flortaucipir F-18","Eli Lilly","Radioactive diagnostic","Other","Imaging, tau in Alzheimer disease","Alzheimer disease","MONDO_0004975",2020,TRUE,TRUE,"FLORTAUCIPIR F-18","CHEMBL3545253","ENSG00000186868"
"Fluorodopa F-18","Fluorodopa F-18","Feinstein Institutes","Radioactive diagnostic","Other","Diagnosis of parkinsonian syndromes","Parkinson disease","MONDO_0005180",2019,NA,NA,"FLUORODOPA F-18","CHEMBL3400972","NA"
"Fluoroestradiol F-18","Fluoroestradiol F-18","Zionexa","Radioactive diagnostic","Other","Imaging, breast cancer","breast carcinoma","EFO_0000305",2020,TRUE,TRUE,"FLUOROESTRADIOL F-18","CHEMBL4594261","ENSG00000186868"
"Fotivda","Tivozanib","Aveo","VEGFR kinase inhibitor","Oncology","Renal cell carcinoma","renal cell carcinoma","EFO_0000681",2021,TRUE,TRUE,"Tivozanib","CHEMBL1289494","ENSG00000102755, ENSG00000128052, ENSG00000037280, ENSG00000157404, ENSG00000113721"
"Galafold","Migalastat","Amicus Therapeutics","beta-galactosidase regulator","Other","Fabry disease","fabry disease","MONDO_0010526",2018,TRUE,TRUE,"MIGALASTAT","CHEMBL110458","ENSG00000102393"
"Gallium dotatoc Ga-68","Gallium dotatoc Ga-68","UIHC PET Imaging Center","Radioactive diagnostic","Other","Localization of somatostatin receptor-positive neuroendocrine tumours","neuroendocrine neoplasm","EFO_1001901",2019,TRUE,FALSE,"GALLIUM DOTATOC GA-68","CHEMBL4297340","ENSG00000180616"
"Gamifant","Emapalumab","Novimmune","Interferon-≈í‚â•-blocking antibody","Other","Primary haemophagocytic lymphohistiocytosis","genetic hemophagocytic lymphohistiocytosis","MONDO_0015541",2018,TRUE,TRUE,"EMAPALUMAB","CHEMBL3989977","ENSG00000111537"
"Gavreto","Pralsetinib","Blueprint Medicines/Roche","RET kinase inhibitor","Oncology","RET fusion-positive NSCLC","non-small cell lung carcinoma","EFO_0003060",2020,TRUE,TRUE,"PRALSETINIB","CHEMBL4582651","ENSG00000170759, ENSG00000165731, ENSG00000108091"
"Gazyva","Obinutuzumab","Genentech","Humanized CD20-specific monoclonal antibody","Oncology","Previously untreated chronic lymphocytic leukaemia","chronic lymphocytic leukemia","EFO_0000095",2013,TRUE,TRUE,"OBINUTUZUMAB","CHEMBL1743048","ENSG00000156738"
"Gemtesa","Vibegron","Urovant Sciences","Beta-3 adrenergic receptor agonist","Other","Overactive bladder","overactive bladder","EFO_1000781",2020,FALSE,FALSE,"VIBEGRON","CHEMBL2107826","ENSG00000188778"
"Genvoya","Elvitegravir; cobicistat; emtricitabine; tenofovir","Gilead","An INSTI plus a CYP3A inhibitor plus two nucleoside analogue reverse transcriptase inhibitors","Other","HIV","HIV infection","EFO_0000764",2015,NA,FALSE,"ELVITEGRAVIR; COBICISTAT; EMTRICITABINE; TENOFOVIR","CHEMBL204656; CHEMBL2095208; CHEMBL885; CHEMBL483","NA; ENSG00000160870, ENSG00000106258, ENSG00000160868, ENSG00000021461; NA; NA"
"Giapreza","Angiotensin II","La Jolla Pharmaceutical Company","Synthetic human angiotensin","Other","Blood pressure in adults with septic or other distributive shock","septic shock; blood pressure","EFO_0006834; EFO_0004325",2017,TRUE,TRUE,"ANGIOTENSIN II","CHEMBL408403","ENSG00000144891"
"Gilotrif","Afatinib","Boehringer Ingelheim","EGFR (ERBB1), HER2 (ERBB2), and HER4 (ERRB4) kinase inhibitor","Oncology","First-line treatment of patients with metastatic NSCLC whose tumours have EGFR exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test","non-small cell lung carcinoma","EFO_0003060",2013,TRUE,TRUE,"AFATINIB","CHEMBL1173655","ENSG00000141736, ENSG00000146648, ENSG00000178568"
"Givlaari","Givosiran","Alnylam","ALAS1-directed siRNA","Other","Acute hepatic porphyria","acute hepatic porphyria","Orphanet_95157",2019,FALSE,FALSE,"GIVOSIRAN","CHEMBL4297760","ENSG00000023330"
"Harvoni","Ledipasvir; sofosbuvir","Gilead Sciences","An NS5A inhibitor plus an HCV nucleotide-analogue NS5B-polymerase inhibitor","Other","Genotype 1 HCV","hepatitis C virus infection","EFO_0003047",2014,NA,NA,"LEDIPASVIR; SOFOSBUVIR","CHEMBL2374220; CHEMBL1259059","NA; NA"
"Hemlibra","Emicizumab","Roche/Genentech","Bispecific FIX and FX-directed antibody","Other","Haemophilia A","hemophilia A","MONDO_0010602",2017,TRUE,TRUE,"EMICIZUMAB","CHEMBL3833393","ENSG00000126218, ENSG00000101981"
"Hetlioz","Tasimelteon","Vanda","Melatonin-receptor agonist","Other","Non-24-hour sleep-wake disorder","sleep-wake disorder","MONDO_0003406",2014,TRUE,TRUE,"TASIMELTEON","CHEMBL2103822","ENSG00000134640, ENSG00000168412"
"Ibrance","Palbociclib","Pfizer","CDK4 and CDK6 inhibitor","Oncology","ER-positive, HER2-negative advanced breast cancer","HER2 negative breast carcinoma","EFO_0009780",2015,TRUE,TRUE,"PALBOCICLIB","CHEMBL189963","ENSG00000135446, ENSG00000110092, ENSG00000105810"
"Ibsrela","Tenapanor","Ardelyx","NHE3 inhibitor","Other","IBS with constipation","irritable bowel syndrome","EFO_0000555",2019,FALSE,FALSE,"TENAPANOR","CHEMBL3304485","ENSG00000066230"
"Idhifa","Enasidenib mesylate","Celgene/Agios","IDH2 inhibitor","Oncology","IDH2-mutated AML","acute myeloid leukemia","EFO_0000222",2017,TRUE,TRUE,"ENASIDENIB MESYLATE","CHEMBL3989931","ENSG00000182054"
"Ilumya","Tildrakizumab","Sun Pharma","IL-23 antibody","Other","Plaque psoriasis","psoriasis vulgaris","EFO_1001494",2018,TRUE,TRUE,"TILDRAKIZUMAB","CHEMBL2108681","ENSG00000110944, ENSG00000113302"
"Imbruvica","Ibrutinib","Pharmacyclics","Bruton's tyrosine kinase inhibitor","Oncology","Mantle cell lymphoma","Mantle cell lymphoma","EFO_1001469",2013,TRUE,TRUE,"IBRUTINIB","CHEMBL1873475","ENSG00000010671"
"Imcivree","Setmelanotide","Rhythm","Melanocortin receptor 4 agonist","Other","Rare genetic diseases of obesity","Bardet-Biedl syndrome","MONDO_0015229",2020,TRUE,TRUE,"SETMELANOTIDE","CHEMBL3301624","ENSG00000166603"
"Imfinzi","Durvalumab","AstraZeneca","PDL1-blocking antibody","Oncology","Urothelial carcinoma","urothelial carcinoma","EFO_0008528",2017,TRUE,TRUE,"DURVALUMAB","CHEMBL3301587","ENSG00000120217"
"Imjudo","Tremelimumab","AstraZeneca","CTLA4-targeted mAb","Oncology","Hepatocellular carcinoma","hepatocellular carcinoma","EFO_0000182",2022,TRUE,TRUE,"Tremelimumab","CHEMBL2108658","ENSG00000163599"
"Impavido","Miltefosine","Knight","MOA unknown","Other","Leishmaniasis","Leishmaniasis","EFO_0005044",2014,NA,NA,"MILTEFOSINE","CHEMBL125","NA"
"Ingrezza","Valbenazine","Neurocrine Biosciences","VMAT2 inhibitor","Other","Tardive dyskinesia","movement disorder","EFO_0004280",2017,TRUE,TRUE,"VALBENAZINE","CHEMBL2364639","ENSG00000165646"
"Inmazeb","Atoltivimab; odesivimab; maftivimab","Regeneron","Cocktail of Ebola glycoprotein-directed mAbs","Other","Ebola virus","Ebola hemorrhagic fever","EFO_0007243",2020,NA,NA,"ATOLTIVIMAB; ODESIVIMAB; MAFTIVIMAB","CHEMBL4298183; CHEMBL4298188; CHEMBL4298184","NA; NA; NA"
"Inqovi","Cedazuridine; decitabine","Otsuka","Cytidine deaminase inhibitor; nucleoside metabolic inhibitor","Other","Myelodysplastic syndromes","myelodysplastic syndrome","EFO_0000198",2020,TRUE,TRUE,"CEDAZURIDINE; DECITABINE","CHEMBL3237547; CHEMBL1201129","ENSG00000158825; ENSG00000119772, ENSG00000130816"
"Inrebic","Fedratinib","Celgene/BMS","JAK2 and FLT3 inhibitor","Other","Myelofibrosis","myelofibrosis","MONDO_0044903",2019,TRUE,TRUE,"FEDRATINIB","CHEMBL1287853","ENSG00000096968, ENSG00000122025"
"Invokana","Canagliflozin","Janssen","SGLT2 inhibitor","Other","Type 2 diabetes","type 2 diabetes mellitus","MONDO_0005148",2013,TRUE,TRUE,"CANAGLIFLOZIN; CANAGLIFLOZIN","CHEMBL4594217; CHEMBL2048484","ENSG00000140675; ENSG00000140675"
"Isturisa","Osilodrostat","Recordati Rare Diseases","Cortisol synthesis inhibitor","Other","Cushing disease","Cushing syndrome","EFO_0003099",2020,TRUE,TRUE,"OSILODROSTAT","CHEMBL3099695","ENSG00000160882"
"Jardiance","Empagliflozin","Boehringer Ingelheim","SGLT2 inhibitor","Other","Type 2 diabetes","type 2 diabetes mellitus","MONDO_0005148",2014,TRUE,TRUE,"EMPAGLIFLOZIN","CHEMBL2107830","ENSG00000140675"
"Jemperli","Dostarlimab","GlaxoSmithKline","PD1-targeted mAb","Oncology","Endometrial cancer","endometrial cancer","MONDO_0011962",2021,TRUE,TRUE,"Dostarlimab","CHEMBL4298124","ENSG00000188389"
"Jeuveau","Prabotulinumtoxin A","Evolus","Acetylcholine release inhibitor and a neuromuscular blocking agent","Other","Glabellar lines associated with corrugator and/or procerus muscle activity","Facial wrinkling","HP_0009762",2019,FALSE,FALSE,"PRABOTULINUMTOXIN A","CHEMBL4297229","ENSG00000132639"
"Jublia","Efinaconazole","Dow","Azole antifungal","Other","Onychomycosis of the toenails","paronychia","EFO_0007421",2014,NA,NA,"EFINACONAZOLE","CHEMBL2103877","NA"
"Kadcyla","Ado-trastuzumab emtansine","Genentech","HER2-targeted antibody and microtubule inhibitor conjugate","Oncology","HER2-positive metastatic breast cancer","HER2 Positive Breast Carcinoma","EFO_1000294",2013,TRUE,TRUE,"TRASTUZUMAB EMTANSINE","CHEMBL1743082","ENSG00000167553, ENSG00000196230, ENSG00000137285, ENSG00000123416, ENSG00000176014, ENSG00000137267, ENSG00000101162, ENSG00000258947, ENSG00000261456, ENSG00000188229, ENSG00000104833, ENSG00000127824, ENSG00000198033, ENSG00000167552, ENSG00000152086, ENSG00000141736"
"Kanuma","Sebelipase alfa","Alexion","Enzyme replacement therapy","Other","LAL deficiency","lysosomal acid lipase deficiency","MONDO_0010204",2015,TRUE,TRUE,"SEBELIPASE ALFA","CHEMBL3039537","ENSG00000107798"
"Kengreal","Cangrelor","Medicines Company","P2Y12 platelet inhibitor","Other","Myocardial infarction, repeat coronary revascularization, and stent thrombosis","myocardial infarction","EFO_0000612",2015,FALSE,FALSE,"CANGRELOR","CHEMBL334966","ENSG00000169313"
"Kerendia","Finerenone","Bayer","Non-steroidal MR antagonist","Other","CKD with type 2 diabetes","chronic kidney disease","EFO_0003884",2021,TRUE,TRUE,"Finerenone","CHEMBL2181927","ENSG00000151623"
"Kerydin","Tavaborole","Anacor","Oxaborole antifungal","Other","Onychomycosis of the toenails","paronychia","EFO_0007421",2014,NA,NA,"TAVABOROLE","CHEMBL443052","NA"
"Kevzara","Sarilumab","Sanofi/Regeneron","IL-6 receptor antagonist","Other","Rheumatoid arthritis","rheumatoid arthritis","EFO_0000685",2017,TRUE,TRUE,"SARILUMAB","CHEMBL2108730","ENSG00000160712"
"Keytruda","Pembrolizumab","Merck & Co.","PD1-specific antibody","Oncology","Metastatic melanoma *and others (2021 approval)","metastatic melanoma","EFO_0002617",2014,FALSE,FALSE,"PEMBROLIZUMAB","CHEMBL3137343","ENSG00000188389"
"Kimmtrak","Tebentafusp","Immunocore","gp100 peptide HLA _ CD3 bispecific T-cell engager","Oncology","Uveal melanoma","Uveal Melanoma","EFO_1000616",2022,FALSE,FALSE,"Tebentafusp","CHEMBL4297990","ENSG00000185664"
"Kisqali","Ribociclib","Novartis","CDK4/6 inhibitor","Oncology","HR-positive, HER2-negative breast cancer","HER2 negative breast carcinoma","EFO_0009780",2017,TRUE,TRUE,"RIBOCICLIB","CHEMBL3545110","ENSG00000105810, ENSG00000135446"
"Klisyri","Tirbanibulin","Athenex","Microtubule inhibitor","Other","Actinic keratosis","actinic keratosis","EFO_0002496",2020,TRUE,TRUE,"TIRBANIBULIN","CHEMBL571546","ENSG00000197122"
"Korsuva","Difelikefalin","Cara Therapeutics","kappa-Opioid receptor agonist","Other","Pruritus associated with CKD","chronic kidney disease","EFO_0003884",2021,FALSE,FALSE,"Difelikefalin","CHEMBL3989915","ENSG00000082556"
"Koselugo","Selumetinib","AstraZeneca","MEK1/2 kinase inhibitor","Other","Neurofibromatosis type 1","neurofibromatosis type 1","MONDO_0018975",2020,TRUE,TRUE,"SELUMETINIB","CHEMBL1614701","ENSG00000169032, ENSG00000126934"
"Krazati","Adagrasib","Mirati","KRAS-G12C inhibitor","Oncology","KRASG12C-mutated NSCLC","non-small cell lung carcinoma","EFO_0003060",2022,TRUE,TRUE,"Adagrasib","CHEMBL4594350","ENSG00000133703"
"Krintafel","Tafenoquine","Medicines for Malaria Venture/GlaxoSmithKline","8-Aminoquinoline antimalarial","Other","Plasmodium vivax malaria","Plasmodium vivax malaria","EFO_0007445",2018,NA,NA,"TAFENOQUINE","CHEMBL298470","NA"
"Kybella","Deoxycholic acid","Kythera","Cytolytic drug","Other","Fat below the chin","body fat distribution","EFO_0004341",2015,NA,NA,"DEOXYCHOLIC ACID","CHEMBL406393","NA"
"Kynamro","Mipomersen","Genzyme","Oligonucleotide inhibitor of apolipoprotein B100 synthesis","Other","Homozygous familial hypercholesterolaemia","homozygous familial hypercholesterolemia","MONDO_0018328",2013,TRUE,TRUE,"MIPOMERSEN","CHEMBL2219536","ENSG00000084674"
"Lampit","Nifurtimox","Bayer","Nitrofuran antiprotozoal","Other","Chagas disease","chagas disease","MONDO_0001444",2020,NA,NA,"NIFURTIMOX","CHEMBL290960","NA"
"Lartruvo","Olaratumab","Eli Lilly","PDGFRalpha-blocking antibody","Oncology","Soft tissue sarcoma","soft tissue sarcoma","EFO_1001968",2016,TRUE,TRUE,"OLARATUMAB","CHEMBL1743049","ENSG00000134853"
"Lenvima","Lenvatinib","Eisai","VEGFR inhibitor","Oncology","Thyroid cancer","thyroid cancer","MONDO_0002108",2015,TRUE,TRUE,"LENVATINIB","CHEMBL1289601","ENSG00000037280, ENSG00000128052, ENSG00000102755"
"Leqvio","Inclisiran","Novartis/Alnylam","PCSK9-targeted siRNA","Other","HeFH or ASCVD","coronary atherosclerosis","MONDO_0021661",2021,TRUE,TRUE,"Inclisiran","CHEMBL3990033","ENSG00000169174"
"Libtayo","Cemiplimab","Regeneron/Sanofi","PD1 antibody","Oncology","CSCC, BCC(*), NSCLC(*)","cutaneous squamous cell carcinoma; basal cell carcinoma; non-small cell lung carcinoma","EFO_1001927; EFO_0004193; EFO_0003060",2018,TRUE,TRUE,"CEMIPLIMAB","CHEMBL4297723","ENSG00000188389"
"Livmarli","Maralixibat","Mirum","IBAT inhibitor","Other","Pruritus in Alagille syndrome","Alagille syndrome","MONDO_0007318",2021,TRUE,TRUE,"Maralixibat","CHEMBL363392","ENSG00000125255"
"Livtencity","Maribavir","Takeda","CMV pUL97 kinase inhibitor","Other","Post-transplant CMV infection",NA,NA,2021,NA,NA,"Maribavir","CHEMBL515408","NA"
"Lokelma","Sodium zirconium cyclosilicate","AstraZeneca","Potassium binder","Other","Hyperkalaemia","hyperkalemia","HP_0002153",2018,NA,NA,"SODIUM ZIRCONIUM CYCLOSILICATE","CHEMBL3301592","NA"
"Lonsurf","Tipiracil; trifluridine","Taiho","Thymidine phosphorylase inhibitor plus a nucleoside metabolic inhibitor","Oncology","Colorectal cancer","colorectal cancer","EFO_0005842",2015,TRUE,TRUE,"TIPIRACIL; TRIFLURIDINE","CHEMBL235668; CHEMBL1129","ENSG00000025708; ENSG00000176890"
"Lorbrena","Lorlatinib","Pfizer","ALK and ROS1 inhibitor","Oncology","ALK-positive NSCLC","non-small cell lung carcinoma","EFO_0003060",2018,TRUE,TRUE,"LORLATINIB","CHEMBL3286830","ENSG00000171094, ENSG00000143924"
"Lucemyra","Lofexidine","US WorldMeds","beta2-adrenoceptor agonist","Other","Opioid withdrawal","opioid dependence","EFO_0005611",2018,FALSE,FALSE,"LOFEXIDINE","CHEMBL17860","ENSG00000150594, ENSG00000274286, ENSG00000184160"
"Lumakras","Sotorasib","Amgen","KRAS-G12C inhibitor","Oncology","KRASG12C-mutated NSCLC","non-small cell lung carcinoma","EFO_0003060",2021,TRUE,TRUE,"Sotorasib","CHEMBL4535757","ENSG00000133703"
"Lumason","Sulfur hexafluoride lipid-type A microspheres","Bracco","Ultrasound contrast agent","Other","Cardiovascular imaging",NA,NA,2014,NA,NA,"SULFUR HEXAFLUORIDE LIPID-TYPE A MICROSPHERES","NA","NA"
"Lumoxiti","Moxetumomab pasudotox","AstraZeneca","CD22-directed antibody‚Äö√Ñ√¨drug conjugate","Oncology","Hairy cell leukaemia","hairy cell leukemia","EFO_1000956",2018,TRUE,TRUE,"MOXETUMOMAB PASUDOTOX","CHEMBL1743043","ENSG00000167658, ENSG00000012124"
"Lunsumio","Mosunetuzumab","Roche/Genentech","CD20 _ CD3 bispecific antibody","Oncology","Follicular lymphoma","follicular lymphoma","MONDO_0018906",2022,TRUE,TRUE,"Mosunetuzumab","CHEMBL4297788","ENSG00000167286, ENSG00000156738, ENSG00000198851, ENSG00000160654"
"Lupkynis","Voclosporin","Aurinia","Calcineurin inhibitor","Other","Lupus nephritis","lupus nephritis","EFO_0005761",2021,TRUE,TRUE,"Voclosporin","CHEMBL2218919","ENSG00000138814"
"Lutathera","Lutetium Lu 177 dotatate","Advanced Accelerator Applications/Novartis","Somatostatin receptor-targeted radiopharmaceutical","Oncology","GEP-NETs","digestive system neuroendocrine neoplasm","MONDO_0024503",2018,TRUE,TRUE,"LUTETIUM LU 177 DOTATATE","CHEMBL3989924","ENSG00000139874, ENSG00000162009, ENSG00000278195, ENSG00000132671, ENSG00000180616"
"Luzu","Luliconazole","Medicis","Azole antifungal","Other","Interdigital tinea pedis, tinea cruris and tinea corporis caused by Trichophyton rubrum and Epidermophyton floccosum","tinea","EFO_0007510",2013,NA,NA,"LULICONAZOLE","CHEMBL2105689","NA"
"Lybalvi","Olanzapine; samidorphan","Alkermes","Atypical antipsychotic and opioid antagonist","Other","Schizophrenia and bipolar I disorder","Schizophrenia; bipolar I disorder","MONDO_0005090; EFO_0009963",2021,TRUE,TRUE,"samidorphan; Olanzapine","CHEMBL426084; CHEMBL715","ENSG00000112038, ENSG00000116329, ENSG00000082556; ENSG00000102468, ENSG00000147246, ENSG00000151577, ENSG00000069696, ENSG00000149295"
"Lymphoseek kit","Technetium TC 99m tilmanocept","Navidea","Radioactive diagnostic agent","Other","Lymphatic mapping in patients with breast cancer or melanoma","breast cancer; melanoma","MONDO_0007254; EFO_0000756",2013,FALSE,FALSE,"TECHNETIUM TC 99M TILMANOCEPT","CHEMBL2108726","ENSG00000260314"
"Lynparza","Olaparib","AstraZeneca","PARP inhibitor","Oncology","Advanced BRCA-mutated ovarian cancer","ovarian cancer","MONDO_0008170",2014,TRUE,TRUE,"OLAPARIB","CHEMBL521686","ENSG00000143799, ENSG00000041880, ENSG00000129484"
"Lytgobi","Futibatinib","Taiho Oncology","FGFR kinase inhibitor","Oncology","FGFR2-aberrant intrahepatic cholangiocarcinoma","intrahepatic cholangiocarcinoma","EFO_1001961",2022,TRUE,TRUE,"Futibatinib","CHEMBL3701238","ENSG00000068078, ENSG00000077782, ENSG00000160867, ENSG00000066468"
"Macrilen","Macimorelin","Aeterna Zentaris","Growth hormone secretagogue receptor agonist","Other","Diagnosis of adult growth hormone deficiency","short stature due to GHSR deficiency","MONDO_0014403",2017,TRUE,TRUE,"MACIMORELIN","CHEMBL278623","ENSG00000121853"
"Margenza","Margetuximab","MacroGenics","HER2-directed mAb","Oncology","HER2-positive breast cancer","HER2 Positive Breast Carcinoma","EFO_1000294",2020,TRUE,TRUE,"MARGETUXIMAB","CHEMBL2364649","ENSG00000141736"
"Mavyret","Glecaprevir; pibrentasvir","AbbVie","NS3/4A protease inhibitor plus a NS5A inhibitor","Other","HCV","hepatitis C virus infection","EFO_0003047",2017,NA,NA,"GLECAPREVIR; PIBRENTASVIR","CHEMBL3545363; CHEMBL3545123","NA; NA"
"Mayzent","Siponimod","Novartis","S1P receptor modulator","Other","Relapsing forms of multiple sclerosis","relapsing-remitting multiple sclerosis","EFO_0003929",2019,FALSE,FALSE,"SIPONIMOD","CHEMBL2336071","ENSG00000170989"
"Mekinist","Trametinib","GSK","MEK1 and MEK2 kinase inhibitor","Oncology","Unresectable or metastatic melanoma with BRAF(V600E) mutation as detected by an FDA-approved test","metastatic melanoma","EFO_0002617",2013,TRUE,TRUE,"TRAMETINIB","CHEMBL2103875","ENSG00000169032, ENSG00000126934"
"Mektovi","Binimetinib","Array BioPharma","MEK inhibitor","Oncology","BRAF-mutated melanoma","melanoma","EFO_0000756",2018,TRUE,TRUE,"BINIMETINIB","CHEMBL3187723","ENSG00000169032, ENSG00000126934"
"Mepsevii","Vestronidase alfa","Ultragenyx","Recombinant human lysosomal ≈í‚â§-glucuronidase","Other","Mucopolysaccharidosis VII","mucopolysaccharidosis type 7","MONDO_0009662",2017,TRUE,TRUE,"VESTRONIDASE ALFA","CHEMBL3707382","ENSG00000169919"
"Monjuvi","Tafasitamab","MorphoSys","CD19-directed mAb","Oncology","DLBCL","diffuse large b-cell lymphoma","EFO_0000403",2020,TRUE,TRUE,"TAFASITAMAB","CHEMBL4298047","ENSG00000177455"
"Motegrity","Prucalopride","Shire/Takeda","5-HT4-receptor agonist","Other","Chronic idiopathic constipation","constipation disorder","MONDO_0002203",2018,FALSE,FALSE,"PRUCALOPRIDE","CHEMBL117287","ENSG00000164270"
"Mounjaro","Tirzepatide","Eli Lilly","GIP receptor and GLP1 receptor agonist","Other","Type 2 diabetes","type 2 diabetes mellitus","MONDO_0005148",2022,TRUE,TRUE,"Tirzepatide","CHEMBL4297839","ENSG00000010310, ENSG00000112164"
"Movantik","Naloxegol","AstraZeneca","Opioid-receptor antagonist","Other","Opioid-induced constipation","Constipation","HP_0002019",2014,FALSE,FALSE,"NALOXEGOL","CHEMBL2219418","ENSG00000112038"
"Moxidectin","Moxidectin","Medicines Development for Global Health","Antihelmintic GABA receptor and glutamate channel modulator","Other","River blindness","ocular onchocerciasis","EFO_0007398",2018,NA,NA,"MOXIDECTIN","CHEMBL2104415","NA"
"Mulpleta","Lusutrombopag","Shionogi","Thrombopoietin receptor agonist","Other","Thrombocytopenia","thrombocytopenia","HP_0001873",2018,TRUE,TRUE,"LUSUTROMBOPAG","CHEMBL2107831","ENSG00000117400"
"Myalept","Metreleptin","Amylin","Leptin analogue","Other","Leptin deficiency in patients with congenital or acquired generalized lipodystrophy","congenital generalized lipodystrophy","EFO_1000681",2014,TRUE,TRUE,"METRELEPTIN","CHEMBL2107857","ENSG00000116678"
"Natpara","Parathyroid hormone","NPS Pharma","Hormonal injection","Other","Hypocalcaemia in patients with hypoparathyroidism","hypoparathyroidism; Hypocalcemia","EFO_0009451; HP_0002901",2015,TRUE,TRUE,"PARATHYROID HORMONE","CHEMBL2108078","ENSG00000160801"
"Nerlynx","Neratinib","Puma Biotechnology","EGFR, HER2 and HER4 irreversible kinase inhibitor","Oncology","HER2-overexpressed breast cancer","HER2 Positive Breast Carcinoma","EFO_1000294",2017,TRUE,TRUE,"NERATINIB","CHEMBL180022","ENSG00000178568, ENSG00000146648, ENSG00000141736"
