Brand_name,Drug_name_original,Drug_name,Sponsor,DrugId,Properties,Indication,Indication_EFO,DiseaseId,TA,Review_type,Year
Trodelvy,Sacituzumab govitecan,SACITUZUMAB GOVITECAN,Immunomedics/Gilead,CHEMBL3545262,"TROP2-directed ADC, with topoisomerase inhibitor",Triple-negative breast cancer (and advanced or metastatic urothelial cancer (mUC)*),triple-negative breast cancer; urothelial carcinoma,EFO_0005537; EFO_0008528,Oncology,,2020
Ongentys,Opicapone,OPICAPONE,Neurocrine,CHEMBL1089318,COMT inhibitor,Parkinson disease,parkinson disease,MONDO_0005180,Neurological,,2020
Tabrecta,Capmatinib,CAPMATINIB,Novartis,CHEMBL3188267,MET kinase inhibitor,NSCLC,non-small cell lung carcinoma,EFO_0003060,Oncology,,2020
Retevmo,Selpercatinib,SELPERCATINIB,Eli Lilly/Loxo Oncology,CHEMBL4559134,RET kinase inhibitor,RET fusion-positive NSCLC and thyroid cancer,non-small cell lung carcinoma; thyroid cancer,EFO_0003060; MONDO_0002108,Oncology,,2020
Qinlock,Ripretinib,RIPRETINIB,Deciphera,CHEMBL4216467,KIT and PDGFRA kinase inhibitor,GIST,gastrointestinal stromal tumor,MONDO_0011719,Oncology,,2020
Fluoroestradiol F-18,Fluoroestradiol F-18,FLUOROESTRADIOL F-18,Zionexa,CHEMBL4594261,Radioactive diagnostic,"Imaging, breast cancer",NA,NA,Imaging,,2020
Artesunate,Artesunate,ARTESUNATE,Amivas,CHEMBL361497,Artemisinin antimalarial,Severe malaria,malaria,EFO_0001068,Infectious,,2020
Flortaucipir F-18,Flortaucipir F-18,FLORTAUCIPIR F-18,Eli Lilly,CHEMBL3545253,Radioactive diagnostic,"Imaging, tau in Alzheimer disease",NA,NA,Imaging,,2020
Uplizna,Inebilizumab,INEBILIZUMAB,Viela Bio,CHEMBL2109334,CD19-directed mAb,NMOSD,neuromyelitis optica,EFO_0004256,Neurological,,2020
Zepzelca,Lurbinectedin,LURBINECTEDIN,Jazz,CHEMBL4297516,Alkylating drug,Small-cell lung cancer,small cell lung carcinoma,EFO_0000702,Oncology,,2020
Dojolvi,Triheptanoin,TRIHEPTANOIN,Ultragenyx,CHEMBL4297585,Medium-chain triglyceride,LC-FAODs,inherited fatty acid metabolism disorder,MONDO_0037858,Metabolic,,2020
Rukobia,Fostemsavir,FOSTEMSAVIR,ViiV Healthcare,CHEMBL3301594,Attachment inhibitor,HIV,hiv infection,EFO_0000764,Infectious,,2020
Byfavo,Remimazolam,REMIMAZOLAM,Acacia,CHEMBL4297526,Benzodiazepine,Procedural sedation,sedation,EFO_0009868,Other,,2020
Inqovi,Cedazuridine; decitabine,CEDAZURIDINE,Otsuka,CHEMBL3237547,Cytidine deaminase inhibitor; nucleoside metabolic inhibitor,Myelodysplastic syndromes,myelodysplastic syndrome,EFO_0000198,Hematology,,2020
Inqovi,Cedazuridine; decitabine,DECITABINE,Otsuka,CHEMBL1201129,Cytidine deaminase inhibitor; nucleoside metabolic inhibitor,Myelodysplastic syndromes,myelodysplastic syndrome,EFO_0000198,Hematology,,2020
Xeglyze,Abametapir,ABAMETAPIR,Dr Reddy‚Äôs,CHEMBL2205807,Metalloproteinase inhibitor,Head lice,lice infestation,MONDO_0003472,Dermatology,,2020
Monjuvi,Tafasitamab,TAFASITAMAB,MorphoSys,CHEMBL4298047,CD19-directed mAb,DLBCL,diffuse large b-cell lymphoma,EFO_0000403,Oncology,,2020
Blenrep,Belantamab mafodotin,BELANTAMAB MAFODOTIN,GlaxoSmithKline,CHEMBL4298209,"BCMA-directed ADC, with microtubule inhibitor",Multiple myeloma,multiple myeloma,EFO_0001378,Oncology,,2020
Lampit,Nifurtimox,NIFURTIMOX,Bayer,CHEMBL290960,Nitrofuran antiprotozoal,Chagas disease,chagas disease,MONDO_0001444,Infectious,,2020
Olinvyk,Oliceridine,OLICERIDINE,Trevena,CHEMBL2443262,Opioid receptor agonist,Acute pain,pain,EFO_0003843,Other,,2020
Evrysdi,Risdiplam,RISDIPLAM,Roche/Genentech,CHEMBL4297528,SMN2 splicing modifier,Spinal muscular atrophy,spinal muscular atrophy,EFO_0008525,Neurological,,2020
Viltepso,Viltolarsen,VILTOLARSEN,Nippon Shinyaku,CHEMBL4298062,Dystrophin splicing modifier,Duchenne muscular dystrophy,duchenne muscular dystrophy,MONDO_0010679,Neurological,,2020
Enspryng,Satralizumab,SATRALIZUMAB,Roche/Genentech,CHEMBL3833307,IL-6R-directed mAb,NMOSD,neuromyelitis optica,EFO_0004256,Neurology,,2020
Winlevi,Clascoterone,CLASCOTERONE,Cassiopea SpA,CHEMBL3590187,Androgen receptor inhibitor,Acne vulgaris,acne,EFO_0003894,Dermatology,,2020
Sogroya,Somapacitan,SOMAPACITAN,Novo Nordisk,CHEMBL3707290,Growth hormone analogue,Growth hormone deficiency,short stature due to partial GHR deficiency,MONDO_0011420,Endocrine,,2020
Copper dotatate Cu-64,Copper dotatate Cu-64,COPPER DOTATATE CU-64,Radiomedix,CHEMBL4297339,Radioactive diagnostic,"Imaging, cancer",NA,NA,Imaging,,2020
Gavreto,Pralsetinib,PRALSETINIB,Blueprint Medicines/Roche,CHEMBL4582651,RET kinase inhibitor,RET fusion-positive NSCLC,non-small cell lung carcinoma,EFO_0003060,Oncology,,2020
Inmazeb,Atoltivimab; odesivimab; maftivimab,ATOLTIVIMAB,Regeneron,CHEMBL4298183,Cocktail of Ebola glycoprotein-directed mAbs,Ebola virus,Ebola hemorrhagic fever,EFO_0007243,Infectious,,2020
Inmazeb,Atoltivimab; odesivimab; maftivimab,ODESIVIMAB,Regeneron,CHEMBL4298188,Cocktail of Ebola glycoprotein-directed mAbs,Ebola virus,Ebola hemorrhagic fever,EFO_0007243,Infectious,,2020
Inmazeb,Atoltivimab; odesivimab; maftivimab,MAFTIVIMAB,Regeneron,CHEMBL4298184,Cocktail of Ebola glycoprotein-directed mAbs,Ebola virus,Ebola hemorrhagic fever,EFO_0007243,Infectious,,2020
Veklury,Remdesivir,REMDESIVIR,Gilead,CHEMBL4065616,Nucleotide analogue RNA polymerase inhibitor,COVID-19,covid-19,MONDO_0100096,Infectious,,2020
Zokinvy,Lonafarnib,LONAFARNIB,Eiger,CHEMBL298734,Farnesyltransferase inhibitor,HGPS,hutchinson-gilford progeria syndrome,MONDO_0008310,Other,,2020
Oxlumo,Lumasiran,LUMASIRAN,Alnylam,CHEMBL4297779,HAO1-directed siRNA,Hyperoxaluria type 1,primary hyperoxaluria type 1,MONDO_0009823,Nephrology,,2020
Danyelza,Naxitamab,NAXITAMAB,Y-mAbs Therapeutics,CHEMBL4297984,GD2-directed mAb,High-risk neuroblastoma,neuroblastoma,EFO_0000621,Oncology,,2020
Imcivree,Setmelanotide,SETMELANOTIDE,Rhythm,CHEMBL3301624,Melanocortin receptor 4 agonist,Rare genetic diseases of obesity,Bardet-Biedl syndrome,MONDO_0015229,Other,,2020
PSMA-11 Ga-68,PSMA-11 Ga-68,PSMA-11 GA-68,UCLA,CHEMBL4297335,Radioactive diagnostic,"Imaging, prostate cancer",NA,NA,Imaging,,2020
Orladeyo,Berotralstat,BEROTRALSTAT,BioCryst,CHEMBL4594271,Plasma kallikrein inhibitor,Hereditary angioedema,hereditary angioedema,MONDO_0019623,Immunology,,2020
Klisyri,Tirbanibulin,TIRBANIBULIN,Athenex,CHEMBL571546,Microtubule inhibitor,Actinic keratosis,actinic keratosis,EFO_0002496,Dermatology,,2020
Margenza,Margetuximab,MARGETUXIMAB,MacroGenics,CHEMBL2364649,HER2-directed mAb,HER2-positive breast cancer,HER2 Positive Breast Carcinoma,EFO_1000294,Oncology,,2020
Orgovyx,Relugolix,RELUGOLIX,Myovant Sciences,CHEMBL1800159,GnRH receptor antagonist,Prostate cancer,prostate cancer,MONDO_0008315,Oncology,,2020
Ebanga,Ansuvimab,ANSUVIMAB,Ridgeback,CHEMBL4594388,Ebola glycoprotein-directed mAb,Ebola virus,Ebola hemorrhagic fever,EFO_0007243,Infectious,,2020
Gemtesa,Vibegron,VIBEGRON,Urovant Sciences,CHEMBL2107826,Beta-3 adrenergic receptor agonist,Overactive bladder,overactive bladder,EFO_1000781,Other,,2020
,Vericiguat,Vericiguat,Merck & Co./Bayer,CHEMBL4066936,sGC stimulator,Chronic heart failure,coronary artery disease,EFO_0001645,Cardiovascular,,2021
,Cabotegravir; rilpivirine,Cabotegravir,ViiV,CHEMBL2403238,INSTI and an NNRTI,HIV-1 infection,NA,NA,Infectious,,2021
,Cabotegravir; rilpivirine,rilpivirine,ViiV,CHEMBL175691,INSTI and an NNRTI,HIV-1 infection,NA,NA,Infectious,,2021
,Voclosporin ,Voclosporin ,Aurinia,CHEMBL2218919,Calcineurin inhibitor,Lupus nephritis,lupus nephritis,EFO_0005761,Nephrology,,2021
,Tepotinib ,Tepotinib ,EMD Serono,CHEMBL3402762,MET kinase inhibitor,NSCLC,non-small cell lung carcinoma,EFO_0003060,Oncology,,2021
,Umbralisib ,Umbralisib ,TG Therapeutics,CHEMBL3948730,PI3Kdelta and CK1epsilon inhibitor,"MZL, follicular lymphoma",MZL; follicular lymphoma,EFO_1000630; MONDO_0018906,Oncology,,2021
,Evinacumab ,Evinacumab ,Regeneron,CHEMBL3545191,ANGPTL3-targeted mAb,HoFH,homozygous familial hypercholesterolemia,MONDO_0018328,Metabolic,,2021
,Trilaciclib ,Trilaciclib ,G1 Therapeutics,CHEMBL3894860,CDK4 and CDK6 kinase inhibitor,Chemotherapy-induced myelosuppression,myelosuppression; small cell lung carcinoma,EFO_0007053; EFO_0000702,Oncology,,2021
,Casimersen,Casimersen,Sarepta,CHEMBL4297566,Exon 45-skipping ASO,DMD,Duchenne muscular dystrophy,MONDO_0010679,Other,,2021
,Fosdenopterin,Fosdenopterin,BridgeBio,CHEMBL2338675,cPMP,MoCD type A,sulfite oxidase deficiency due to molybdenum cofactor deficiency,MONDO_0020480,Other,,2021
,Melphalan flufenamide,Melphalan flufenamide,Oncopeptides,CHEMBL4303060,Peptide-conjugated alkylating drug,Multiple myeloma,multiple myeloma,EFO_0001378,Oncology,,2021
,Dexmethylphenidate; serdexmethylphenidate,Dexmethylphenidate,Commave Therapeutics,CHEMBL827,CNS stimulant,ADHD,attention deficit hyperactivity disorder,EFO_0003888,Psychiatric,,2021
,Dexmethylphenidate; serdexmethylphenidate,serdexmethylphenidate,Commave Therapeutics,CHEMBL4301162,CNS stimulant,ADHD,attention deficit hyperactivity disorder,EFO_0003888,Psychiatric,,2021
,Tivozanib,Tivozanib,Aveo,CHEMBL1289494,VEGFR kinase inhibitor,Renal cell carcinoma,renal cell carcinoma,EFO_0000681,Oncology,,2021
,Ponesimod,Ponesimod,J&J,CHEMBL1096146,S1P receptor modulator,Relapsing multiple sclerosis,multiple sclerosis,MONDO_0005301,Other,,2021
,Dasiglucagon,Dasiglucagon,Zealand Pharma,CHEMBL4297741,Glucagon receptor agonist,Severe hypoglycaemia,GCGR-related hyperglucagonemia,EFO_0001360,Metabolic,,2021
,Viloxazine,Viloxazine,Supernus,CHEMBL306700,SNRI,ADHD,attention deficit hyperactivity disorder,EFO_0003888,Psychiatric,,2021
,Drospirenone; estetrol,Drospirenone,Mayne Pharma,CHEMBL1509,Spironolactone and oestrogen analogues,To prevent pregnancy,NA,NA,Reproductive,,2021
,Drospirenone; estetrol,estetrol,Mayne Pharma,CHEMBL1230314,Spironolactone and oestrogen analogues,To prevent pregnancy,NA,NA,Reproductive,,2021
,Dostarlimab,Dostarlimab,GlaxoSmithKline,CHEMBL4298124,PD1-targeted mAb,Endometrial cancer,endometrial cancer,MONDO_0011962,Oncology,,2021
,Loncastuximab tesirine ,Loncastuximab tesirine ,ADC Therapeutics,CHEMBL4297778,CD19-targeted ADC,B-cell lymphoma,B-cell non-Hodgkins lymphoma,EFO_1001938,Oncology,,2021
,Pegcetacoplan,Pegcetacoplan,Apellis,CHEMBL4298211,Complement protein C3 inhibitor,PNH,paroxysmal nocturnal hemoglobinuria,MONDO_0100244,Other,,2021
,Amivantamab,Amivantamab,J&J,CHEMBL4297774,EGFRxMETR bispecific antibody,EGFR exon 20-mutated NSCLC,non-small cell lung carcinoma,EFO_0003060,Oncology,,2021
,Piflufolastat F-18,Piflufolastat F-18,Progenics,CHEMBL4297334,Radiolabelled PSMA imaging agent,Prostate cancer imaging,NA,NA,Imaging,,2021
,Infigratinib,Infigratinib,BridgeBio,CHEMBL1852688,FGFR2 kinase inhibitor,FGFR2-mutated bile duct cancer,bile duct cancer,MONDO_0003059,Oncology,,2021
,Sotorasib,Sotorasib,Amgen,CHEMBL4535757,KRAS-G12C inhibitor,KRASG12C-mutated NSCLC,non-small cell lung carcinoma,EFO_0003060,Oncology,,2021
,Olanzapine; samidorphan,samidorphan,Alkermes,CHEMBL426084,Atypical antipsychotic and opioid antagonist,Schizophrenia and bipolar I disorder,Schizophrenia; bipolar I disorder,MONDO_0005090; EFO_0009963,Psychiatric,,2021
,Olanzapine; samidorphan,Olanzapine,Alkermes,CHEMBL715,Atypical antipsychotic and opioid antagonist,Schizophrenia and bipolar I disorder,Schizophrenia; bipolar I disorder,MONDO_0005090; EFO_0009963,Psychiatric,,2021
,Ibrexafungerp,Ibrexafungerp,Scynexis,CHEMBL4297513,Triterpenoid antifungal,Vulvovaginal candidiasis,NA,NA,Infectious,,2021
,Aducanumab,Aducanumab,Biogen/Eisai,CHEMBL3039540,Amyloid-beta-targeted mAb,Alzheimers disease,Alzheimers disease,MONDO_0004975,Other,,2021
,Asparaginase erwinia chrysanthemi,Asparaginase erwinia chrysanthemi,Jazz,CHEMBL1863514,Recombinant asparagine-specific enzyme,"ALL and LBL, in patients allergic to E. coli-derived products",acute lymphoblastic leukemia; lymphoblastic lymphoma,EFO_0000220; MONDO_0000873,Oncology,,2021
,Finerenone,Finerenone,Bayer,CHEMBL2181927,Non-steroidal MR antagonist,CKD with type 2 diabetes,chronic kidney disease,EFO_0003884,Other,,2021
,Fexinidazole,Fexinidazole,Sanofi/DNDi,CHEMBL1631694,Nitroimidazole antimicrobial,Sleeping sickness,NA,NA,Infectious,,2021
,Belumosudil,Belumosudil,Kadmon,CHEMBL4594302,ROCK2 kinase inhibitor,Chronic GVHD,graft versus host disease,MONDO_0013730,Other,,2021
,Odevixibat,Odevixibat,Albireo,CHEMBL4297588,IBAT inhibitor,Pruritus in PFIC,familial intrahepatic cholestasis,MONDO_0017290,Other,,2021
,Anifrolumab,Anifrolumab,AstraZeneca,CHEMBL2364653,IFNAR-targeted mAb,SLE,systemic lupus erythematosus,MONDO_0007915,Other,,2021
,Avalglucosidase alfa,Avalglucosidase alfa,Sanofi,CHEMBL4594320,Recombinant alpha-glucosidase,Pompe disease,glycogen storage disease II,MONDO_0009290,Other,,2021
,Belzutifan,Belzutifan,Merck & Co.,CHEMBL4585668,HIF-2alpha inhibitor,von Hippel-Lindau disease,von Hippel-Lindau disease,MONDO_0008667,Oncology,,2021
,Difelikefalin,Difelikefalin,Cara Therapeutics,CHEMBL3989915,kappa-Opioid receptor agonist,Pruritus associated with CKD,chronic kidney disease,EFO_0003884,Other,,2021
,Lonapegsomatropin,Lonapegsomatropin,Ascendis Pharma,CHEMBL4298185,PEGylated human growth hormone,Growth failure due to GHD,Growth delay,HP_0001510,Other,,2021
,Mobocertinib,Mobocertinib,Takeda,CHEMBL4650319,EGFR kinase inhibitor,EGFR exon 20-mutated NSCLC,non-small cell lung carcinoma,EFO_0003060,Oncology,,2021
,Tisotumab vedotin,Tisotumab vedotin,Seagen/Genmab,CHEMBL4297841,Tissue-factor-directed ADC,Cervical cancer,cervical cancer,MONDO_0002974,Oncology,,2021
,Atogepant,Atogepant,AbbVie,CHEMBL3991065,CGRP receptor antagonist,Episodic migraine,migraine disorder,MONDO_0005277,Other,,2021
,Maralixibat,Maralixibat,Mirum,CHEMBL363392,IBAT inhibitor,Pruritus in Alagille syndrome,Alagille syndrome,MONDO_0007318,Other,,2021
,Avacopan,Avacopan,ChemoCentryx,CHEMBL3989871,Complement 5a receptor antagonist,ANCA-associated vasculitis,Anti-neutrophil cytoplasmic antibody-associated vasculitis,MONDO_0015492,Cardiovascular,,2021
,Asciminib,Asciminib,Novartis,CHEMBL4208229,ABL/BCR-ABL1  kinase inhibitor,Ph+ CML,Blast Phase Chronic Myelogenous Leukemia; BCR-ABL1 Positive,EFO_1000131,Oncology,,2021
,Ropeginterferon alfa-2b,Ropeginterferon alfa-2b,Pharmaessentia,CHEMBL4297819,PEGylated interferon alpha-2b,Polycythaemia vera,polycythemia vera,EFO_0002429,Oncology,,2021
,Vosoritide,Vosoritide,Biomarin,CHEMBL3707276,CNP analogue,Achondroplasia,achondroplasia,MONDO_0007037,Other,,2021
,Maribavir,Maribavir,Takeda,CHEMBL515408,CMV pUL97 kinase inhibitor,Post-transplant CMV infection,NA,NA,Infectious,,2021
,Pafolacianine,Pafolacianine,On Target Labs,CHEMBL4297412,Fluorescent FR imaging agent,Ovarian cancer imaging,NA,NA,Imaging,,2021
,Efgartigimod alfa,Efgartigimod alfa,Argenx,CHEMBL4297551,FcRn-binding Fc fragment,Myasthenia gravis,Myasthenia gravis,EFO_0004991,Other,,2021
,Tezepelumab,Tezepelumab,Astrazeneca/Amgen,CHEMBL3707229,TSLP-targeted mAb,Severe asthma,asthma,MONDO_0004979,Respiratory,,2021
,Inclisiran,Inclisiran,Novartis/Alnylam,CHEMBL3990033,PCSK9-targeted siRNA,HeFH or ASCVD,coronary atherosclerosis,MONDO_0021661,Cardiovascular,,2021
,Tralokinumab,Tralokinumab,LEO Pharma,CHEMBL1743081,IL-13-targeted mAb,Atopic dermatitis,atopic eczema,EFO_0000274,Dermatology,,2021
,Abrocitinib,Abrocitinib,Pfizer,CHEMBL3655081,JAK inhibitor,Atopic dermatitis,,EFO_0000274; HP_0000964,Dermatology,,2022
,Adagrasib,Adagrasib,Mirati,CHEMBL4594350,KRAS-G12C inhibitor,KRASG12C-mutated NSCLC,,EFO_0003060,Oncology,,2022
,Anacaulase,Anacaulase,Mediwound,NA,Proteolytic enzymes from pineapple plants,Eschar removal after thermal burns,,NA,Other,,2022
,Daridorexant,Daridorexant,Idorsia,CHEMBL4297590,Orexin receptor antagonist,Insomnia,,EFO_0004698; EFO_0005271,Other,,2022
,DaxibotulinumtoxinA,DaxibotulinumtoxinA,Revance,CHEMBL3707359,Botulinum toxin,Glabellar lines,,HP_0009762,Other,,2022
,Deucravacitinib,Deucravacitinib,Bristol Myers Squibb,CHEMBL4435170,TYK2 inhibitor,Plaque psoriasis,,EFO_1001494,Dermatology,,2022
,Eflapegrastim,Eflapegrastim,Spectrum,CHEMBL3833384,Leukocyte growth factor,"Incidence of infection in non-myeloid malignancies, with myelosuppressive drugs",,EFO_0000544,Infectious,,2022
,Faricimab,Faricimab,Roche/Genentech,CHEMBL4297750,VEGF _ ANG2 bispecific antibody,nAMD and DME,,EFO_0001365,Ophthalmology,,2022
,Futibatinib,Futibatinib,Taiho Oncology,CHEMBL3701238,FGFR kinase inhibitor,FGFR2-aberrant intrahepatic cholangiocarcinoma,,EFO_0005221,Oncology,,2022
,Gadopiclenol,Gadopiclenol,Guerbet,CHEMBL4297634,Gadolinium-based contrast agent,Lesions with abnormal vascularity,,NA,Imaging,,2022
,Ganaxolone,Ganaxolone,Marinus,CHEMBL1568698,GABAA receptor positive allosteric modulator,Seizures associated with CDD,,HP_0200134,Other,,2022
,Lenacapavir,Lenacapavir,Gilead,CHEMBL4594438,HIV-1 capsid inhibitor,HIV-1 infection,,EFO_0000180,Infectious,,2022
,Lutetium Lu-177 vipivotide tetraxetan,Lutetium Lu-177 vipivotide tetraxetan,Novartis,CHEMBL4594406,PSMA-binding radioligand therapeutic agent,PSMA-positive prostate cancer,,EFO_0001663,Oncology,,2022
,Mavacamten,Mavacamten,Bristol Myers Squibb,CHEMBL4297517,Cardiac myosin inhibitor,Classes of obstructive HCM (Hypertrophic Obstructive Cardiomyopathy),,EFO_0000538,Cardiovascular,,2022
,Mirvetuximab soravtansine,Mirvetuximab soravtansine,ImmunoGen,CHEMBL3545132,FR_-targeted antibody-drug conjugate,Ovarian cancer,,EFO_0001075,Oncology,,2022
,Mitapivat,Mitapivat,Agios,CHEMBL4299940,Pyruvate kinase activator,Haemolytic anaemia due to PK deficiency,,EFO_0005558,Other,,2022
,Mosunetuzumab,Mosunetuzumab,Roche/Genentech,CHEMBL4297788,CD20 _ CD3 bispecific antibody,Follicular lymphoma,,MONDO_0018906,Oncology,,2022
,Olipudase alfa ,Olipudase alfa ,Sanofi/Genzyme,CHEMBL3707358,Acid sphingomyelinase ERT,Acid sphingomyelinase deficiency,,MONDO_0100464,Other,,2022
,Olutasidenib,Olutasidenib,Rigel/Forma,CHEMBL4297610,IDH1 inhibitor,IDH1-mutated AML,,EFO_0000222,Oncology,,2022
,Omidenepag isopropyl,Omidenepag isopropyl,Santen,CHEMBL4297666,Prostaglandin E2 receptor agonist,Intraocular pressure in open-angle glaucoma or ocular hypertension,,EFO_1001069; EFO_0004190,Ophthalmology,,2022
,Oteseconazole,Oteseconazole,Mycovia,CHEMBL3311228,Azole antifungal,Vulvovaginal candidiasis,,EFO_0007543,Infectious,,2022
,Pacritinib,Pacritinib,CTI Biopharma,CHEMBL2035187,JAK2 inhibitor,Myelofibrosis,,MONDO_0044903,Oncology,,2022
,Relatlimab; nivolumab,Relatlimab,Bristol Myers Squibb,CHEMBL3990044,LAG3-targeted mAb plus PD1-targeted mAb,Melanoma,,EFO_0000756; EFO_0002617; EFO_0002617,Oncology,,2022
,Relatlimab; nivolumab,nivolumab,Bristol Myers Squibb,CHEMBL2108738,LAG3-targeted mAb plus PD1-targeted mAb,Melanoma,,EFO_0000756; EFO_0002617; EFO_0002617,Oncology,,2022
,Sodium phenylbutyrate; taurursodiol,Sodium phenylbutyrate,Amylyx,CHEMBL1746,Mechanism unknown,Amyotrophic lateral sclerosis,,MONDO_0004976,Other,,2022
,Sodium phenylbutyrate; taurursodiol,taurursodiol,Amylyx,CHEMBL272427,Mechanism unknown,Amyotrophic lateral sclerosis,,MONDO_0004976,Other,,2022
,Spesolimab,Spesolimab,Boehringer Ingelheim,CHEMBL4297911,IL-36R-targeted mAb,Generalized pustular psoriasis flares,,MONDO_0013626,Dermatology,,2022
,Sutimlimab,Sutimlimab,Bioverativ,CHEMBL4297832,C1s-targeted mAb,RBC transfusion due to haemolysis in CAD (cold agglutinin disease),,EFO_1001264,Autoimmune,,2022
,Tapinarof,Tapinarof,Dermavant,CHEMBL259571,Aryl hydrocarbon receptor agonist,Plaque psoriasis,,EFO_0000676,Dermatology,,2022
,Tebentafusp,Tebentafusp,Immunocore,CHEMBL4297990,gp100 peptide HLA _ CD3 bispecific T-cell engager,Uveal melanoma,,EFO_1000616,Oncology,,2022
,Teclistamab,Teclistamab,J&J,CHEMBL4594505,BCMA _ CD3 bispecific antibody,Multiple myeloma,,EFO_0001378,Oncology,,2022
,Teplizumab,Teplizumab,Provention Bio,CHEMBL1743078,CD3-targeted antibody,Delay onset of type 1 diabetes,,MONDO_0005147,Autoimmune,,2022
,Terlipressin,Terlipressin,Mallinckrodt,CHEMBL2135460,Vasopressin receptor agonist,Kidney function in hepatorenal syndrome,,MONDO_0001382,Other,,2022
,Tirzepatide,Tirzepatide,Eli Lilly,CHEMBL4297839,GIP receptor and GLP1 receptor agonist,Type 2 diabetes,,MONDO_0005148,Autoimmune,,2022
,Tremelimumab,Tremelimumab,AstraZeneca,CHEMBL2108658,CTLA4-targeted mAb,Hepatocellular carcinoma,,EFO_0000182,Oncology,,2022
,Ublituximab,Ublituximab,TG Therapeutics,CHEMBL2108354,CD20-targeted mAb,Relapsing forms of multiple sclerosis,,EFO_0003929,Other,,2022
,Vonoprazan; amoxicillin; clarithromycin,Vonoprazan,Phathom,CHEMBL2079130,Potassium-competitive acid blocker plus a penicillin class antibacterial plus a macrolide antimicrobial,Helicobacter pylori infection,,EFO_1000961,Infectious,,2022
,Vonoprazan; amoxicillin; clarithromycin,amoxicillin,Phathom,CHEMBL1082,Potassium-competitive acid blocker plus a penicillin class antibacterial plus a macrolide antimicrobial,Helicobacter pylori infection,,EFO_1000961,Infectious,,2022
,Vonoprazan; amoxicillin; clarithromycin,clarithromycin,Phathom,CHEMBL1741,Potassium-competitive acid blocker plus a penicillin class antibacterial plus a macrolide antimicrobial,Helicobacter pylori infection,,EFO_1000961,Infectious,,2022
,Vutrisiran,Vutrisiran,Alnylam,CHEMBL4594511,TTR-targeted siRNA,Polyneuropathy of hereditary TTR-mediated amyloidosis,,EFO_0004129,Other,,2022
,Xenon Xe 129 hyperpolarized,Xenon Xe 129 hyperpolarized,Polarean,CHEMBL4594411,Hyperpolarized contrast agent,MRI-evaluation of lung ventilation,,NA,Imaging,,2022
