drugId,yearApproval,brandDrugName,originalDrugName,drugName,targetIds,interactorIds,targetType,sponsor,properties,therapeuticArea,indication,diseaseName,diseaseIds,relatedIds,diseaseType,diseaseClass,reviewType,hasAnyGE,hasInteractorDiseasesGE,hasTargetRelatedGE,hasInteractorRelatedGE,hasTargetDiseaseGE
CHEMBL1241951,2017,Prevymis,Letermovir,LETERMOVIR,NA,NA,Original,Merck & Co.,CMV DNA terminase complex inhibitor,No human target,Prophylaxis of CMV (cytomegalovirus),cytomegalovirus infection,EFO_0001062,NA,Original,Serious,"P,O,B,F",NA,NA,NA,NA,NA
CHEMBL17860,2018,Lucemyra,Lofexidine,LOFEXIDINE,"ENSG00000150594,ENSG00000274286,ENSG00000184160",NA,Original,US WorldMeds,beta2-adrenoceptor agonist,Other indication,Opioid withdrawal,opioid dependence,EFO_0005611,NA,Original,Not serious,"P,F",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL1201891,2017,Emflaza,Deflazacort,DEFLAZACORT,ENSG00000113580,NA,Original,PTC Therapeutics,Corticosteroid,Other indication,Duchenne muscular dystrophy,Duchenne muscular dystrophy,MONDO_0010679,NA,Original,Serious,"P,O,F",FALSE,FALSE,FALSE,FALSE,FALSE
"CHEMBL206253,CHEMBL1189679",2014,Akynzeo,"Netupitant, palonosetron","NETUPITANT,PALONOSETRON","ENSG00000115353,ENSG00000166736",NA,Original,Helsinn,An NK1-receptor antagonist plus a 5-HT3-receptor antagonist,Other indication,Chemotherapy-related nausea,Chemotherapy-induced nausea and vomiting,EFO_0006911,NA,Original,Not serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL3304485,2019,Ibsrela,Tenapanor,TENAPANOR,ENSG00000066230,NA,Original,Ardelyx,NHE3 inhibitor,Other indication,IBS with constipation,irritable bowel syndrome,EFO_0000555,NA,Original,Not serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL2107826,2020,Gemtesa,Vibegron,VIBEGRON,ENSG00000188778,NA,Original,Urovant Sciences,Beta-3 adrenergic receptor agonist,Other indication,Overactive bladder,overactive bladder,EFO_1000781,NA,Original,Not serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL2159122,2015,Viberzi,Eluxadoline,ELUXADOLINE,ENSG00000112038,NA,Original,Allergan,Mu-opioid receptor agonist,Other indication,Irritable bowel syndrome,irritable bowel syndrome,EFO_0000555,NA,Original,Not serious,"P,F",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL4297551,2021,Vyvgart,Efgartigimod alfa,Efgartigimodalfa,ENSG00000104870,NA,Original,Argenx,FcRn-binding Fc fragment,Other indication,Myasthenia gravis,Myasthenia gravis,EFO_0004991,NA,Original,Serious,"S,O,F",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL2108041,2017,Ocrevus,Ocrelizumab,OCRELIZUMAB,ENSG00000156738,NA,Original,Roche/Genentech,CD20-directed cytolytic antibody,Other indication,Relapsing or primary progressive forms of multiple sclerosis,chronic progressive multiple sclerosis,EFO_0003840,NA,Original,Serious,"P,B,F",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL2048028,2016,Xiidra,Lifitegrast,LIFITEGRAST,"ENSG00000160255,ENSG00000005844",NA,Original,Shire Pharmaceuticals,LFA1 antagonist,Other indication,Dry eye disease,dry eye syndrome,EFO_1000906,NA,Original,Not serious,P,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL4297229,2019,Jeuveau,Prabotulinumtoxin A,PRABOTULINUMTOXINA,ENSG00000132639,NA,Original,Evolus,Acetylcholine release inhibitor and a neuromuscular blocking agent,Other indication,Glabellar lines associated with corrugator and/or procerus muscle activity,Facial wrinkling,HP_0009762,NA,Original,Not serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL3707313,2019,Aklief,Trifarotene,TRIFAROTENE,ENSG00000172819,NA,Original,Galderma,Retinoic acid receptor agonist,Other indication,Acne vulgaris,acne,EFO_0003894,NA,Original,Not serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL2219418,2014,Movantik,Naloxegol,NALOXEGOL,ENSG00000112038,NA,Original,AstraZeneca,Opioid-receptor antagonist,Other indication,Opioid-induced constipation,Constipation,HP_0002019,NA,Original,Not serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL4594250,2017,Rhopressa,Netarsudil,NETARSUDIL,"ENSG00000134318,ENSG00000067900",NA,Original,Aerie Pharmaceuticals,RHO kinase inhibitor,Other indication,Open-angle glaucoma or ocular hypertension,open-angle glaucoma; ocular hypertension,"EFO_0004190,EFO_1001069",NA,Original,Serious,P,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL243712,2020,Barhemsys,Amisulpride,AMISULPRIDE,"ENSG00000151577,ENSG00000149295,ENSG00000164270,ENSG00000157219,ENSG00000158748,ENSG00000166736,ENSG00000186090,ENSG00000178084,ENSG00000102468,ENSG00000149305,ENSG00000179097,ENSG00000135914,ENSG00000178394,ENSG00000168830,ENSG00000147246,ENSG00000186038,ENSG00000148680,ENSG00000135312,ENSG00000179546",NA,Original,Acacia,Dopamine receptors D2 & D3 antagonist,Other indication,Nausea and vomiting after surgery,Nausea and vomiting,HP_0002017,NA,Original,Not serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL3348963,2017,Xermelo,Telotristat etiprate,TELOTRISTATETIPRATE,"ENSG00000129167,ENSG00000139287",NA,Original,Lexicon Pharmaceuticals,Tryptophan hydroxylase inhibitor,Other indication,Carcinoid syndrome diarrhoea,carcinoid syndrome; Diarrhea,"EFO_1000852,HP_0002014",NA,Original,Not serious,"P,O,F",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL4297760,2019,Givlaari,Givosiran,GIVOSIRAN,ENSG00000023330,NA,Original,Alnylam,ALAS1-directed siRNA,Other indication,Acute hepatic porphyria,acute hepatic porphyria,Orphanet_95157,NA,Original,Serious,"P,O,B",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL1743079,2020,Tepezza,Teprotumumab,TEPROTUMUMAB,ENSG00000140443,NA,Original,Horizon Therapeutics,IGF1R-directed mAb,Other indication,Thyroid eye disease,Graves disease,EFO_0004237,NA,Original,Not concordant,"P,O,B,F",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL2364612,2017,Vyzulta,Latanoprostene bunod,LATANOPROSTENEBUNOD,ENSG00000122420,NA,Original,Bausch and Lomb/Valeant Pharmaceuticals,Prostaglandin analogue,Other indication,Intraocular pressure,intraocular pressure measurement,EFO_0004695,NA,Original,Not serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL2108728,2018,Asparlas,Calaspargase pegol,CALASPARGASEPEGOL,ENSG00000166183,NA,Original,Servier,Asparagine specific enzyme,Oncology,ALL,acute lymphoblastic leukemia,EFO_0000220,NA,Original,Serious,"S,O",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL354077,2018,Firdapse,Amifampridine,AMIFAMPRIDINE,"ENSG00000130037,ENSG00000182255,ENSG00000173826,ENSG00000111262,ENSG00000178342,ENSG00000131398,ENSG00000140015,ENSG00000055118,ENSG00000168418,ENSG00000143473,ENSG00000183960,ENSG00000151079,ENSG00000184408,ENSG00000116396,ENSG00000171126,ENSG00000168263,ENSG00000026559,ENSG00000170745,ENSG00000185760,ENSG00000135519,ENSG00000184156,ENSG00000075043,ENSG00000117013,ENSG00000158445,ENSG00000166006,ENSG00000129159,ENSG00000124134,ENSG00000156486,ENSG00000143105,ENSG00000182674,ENSG00000053918,ENSG00000089558,ENSG00000177301,ENSG00000162975,ENSG00000102057,ENSG00000184611,ENSG00000171385,ENSG00000177272,ENSG00000104848,ENSG00000164794",NA,Original,Catalyst Pharmaceuticals,Potassium channel blocker,Other indication,Lambert-Eaton myasthenic syndrome,Lambert-Eaton myasthenic syndrome,Orphanet_43393,NA,Original,Serious,"P,O",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL1742991,2017,Fasenra,Benralizumab,BENRALIZUMAB,ENSG00000091181,NA,Original,AstraZeneca,IL-5Ralpha-directed monoclonal antibody,Other indication,Serious asthma,Status Asthmaticus,EFO_0008590,"MONDO_0004979,MONDO_0004979",Original,Serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL2103867,2017,Trulance,Plecanatide,PLECANATIDE,ENSG00000070019,NA,Original,Synergy Pharmaceuticals,Guanylate cyclase C agonist,Other indication,Chronic idiopathic constipation,Chronic constipation,HP_0012450,NA,Original,Not serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL2108738,2014,Opdivo,Nivolumab,NIVOLUMAB,ENSG00000188389,NA,Original,Bristol-Myers Squibb,PD1 inhibitor,Oncology,Unresectable or metastatic melanoma,metastatic melanoma,EFO_0002617,EFO_0000756,Original,Serious,"P,O,B,A,F",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL4297911,2022,Spevigo,Spesolimab,Spesolimab,"ENSG00000115598,ENSG00000196083",NA,Original,Boehringer Ingelheim,IL-36R-targeted mAb,Other indication,Generalized pustular psoriasis flares,"psoriasis 14, pustular",MONDO_0013626,NA,Original,Not concordant,"P,O,B",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL1743068,2015,Cosentyx,Secukinumab,SECUKINUMAB,ENSG00000112115,NA,Original,Novartis,IL-17A antagonist,Other indication,"Plaque psoriasis, *psoriatic arthritis, ankylosing spondylitis, along with other joint inflammatory disorders.",psoriasis vulgaris,EFO_1001494,EFO_0000676,Original,Not serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL4297334,2021,Pylarify,Piflufolastat F-18,PiflufolastatF-18,ENSG00000086205,NA,Original,Progenics,Radiolabelled PSMA imaging agent,Other indication,Prostate cancer imaging,prostate carcinoma,EFO_0001663,NA,Original,Serious,P,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL2005186,2021,Rezurock,Belumosudil,Belumosudil,"ENSG00000134318,ENSG00000067900",NA,Original,Kadmon,ROCK2 kinase inhibitor,Other indication,Chronic GVHD,graft versus host disease,MONDO_0013730,NA,Original,Serious,"P,O,B",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL2108726,2013,Lymphoseek kit,Technetium TC 99m tilmanocept,TECHNETIUMTC99MTILMANOCEPT,ENSG00000260314,NA,Original,Navidea,Radioactive diagnostic agent,Other indication,Lymphatic mapping in patients with breast cancer or melanoma,breast cancer; melanoma,"MONDO_0007254,EFO_0000756",NA,Original,Serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL4594271,2020,Orladeyo,Berotralstatc,BEROTRALSTAT,ENSG00000164344,NA,Original,BioCryst,Plasma kallikrein inhibitor,#N/A,Hereditary angioedema,hereditary angioedema,MONDO_0019623,NA,Original,Serious,"S,O,F",FALSE,NA,NA,NA,FALSE
CHEMBL334966,2015,Kengreal,Cangrelor,CANGRELOR,ENSG00000169313,NA,Original,Medicines Company,P2Y12 platelet inhibitor,Other indication,"Myocardial infarction, repeat coronary revascularization, and stent thrombosis",myocardial infarction,EFO_0000612,NA,Original,Serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL2443262,2020,Olinvyk,Oliceridine,OLICERIDINE,ENSG00000112038,NA,Original,Trevena,Opioid receptor agonist,Other indication,Acute pain,pain,EFO_0003843,NA,Original,Not serious,"S,F",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL2108354,2022,Briumvi,Ublituximab,Ublituximab,ENSG00000156738,NA,Original,TG Therapeutics,CD20-targeted mAb,Other indication,Relapsing forms of multiple sclerosis,relapsing-remitting multiple sclerosis,EFO_0003929,MONDO_0005301,Original,Serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL3707359,2022,Daxxify,DaxibotulinumtoxinA,DaxibotulinumtoxinA,ENSG00000132639,NA,Original,Revance,Botulinum toxin,Other indication,Glabellar lines,Facial wrinkling,HP_0009762,NA,Original,Not serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL2108677,2014,Plegridy,Peginterferon beta-1A,PEGINTERFERONBETA-1A,"ENSG00000159110,ENSG00000142166",NA,Original,Biogen Idec,Long-acting interferon-beta1A,Other indication,Relapsing multiple sclerosis,relapsing-remitting multiple sclerosis,EFO_0003929,MONDO_0005301,Original,Serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL3989871,2021,Tavneos,Avacopan,Avacopan,ENSG00000197405,NA,Original,ChemoCentryx,Complement 5a receptor antagonist,Other indication,ANCA-associated vasculitis,Anti-neutrophil cytoplasmic antibody-associated vasculitis,MONDO_0015492,NA,Original,Serious,"S,O",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL2336071,2019,Mayzent,Siponimod,SIPONIMOD,ENSG00000170989,NA,Original,Novartis,S1P receptor modulator,Other indication,Relapsing forms of multiple sclerosis,relapsing-remitting multiple sclerosis,EFO_0003929,MONDO_0005301,Original,Serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL117287,2018,Motegrity,Prucalopride,PRUCALOPRIDE,ENSG00000164270,NA,Original,Shire/Takeda,5-HT4-receptor agonist,Other indication,Chronic idiopathic constipation,constipation disorder,MONDO_0002203,NA,Original,Not serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL3137343,2014,Keytruda,Pembrolizumab,PEMBROLIZUMAB,ENSG00000188389,NA,Original,Merck & Co.,PD1-specific antibody,Oncology,Metastatic melanoma *and others (2021 approval),metastatic melanoma,EFO_0002617,EFO_0000756,Original,Serious,"P,O,B,A",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL4297990,2022,Kimmtrak,Tebentafusp,Tebentafusp,ENSG00000185664,NA,Original,Immunocore,gp100 peptide HLA _ CD3 bispecific T-cell engager,Oncology,Uveal melanoma,Uveal Melanoma,EFO_1000616,NA,Original,Serious,"P,O,B",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL1743034,2016,Taltz,Ixekizumab,IXEKIZUMAB,ENSG00000112115,NA,Original,Eli Lilly,IL-17A antagonist,Other indication,Plaque psoriasis,psoriasis vulgaris,EFO_1001494,EFO_0000676,Original,Not serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL4297832,2022,Enjaymo,Sutimlimab,Sutimlimab,ENSG00000182326,NA,Original,Bioverativ,C1s-targeted mAb,Other indication,RBC transfusion due to haemolysis in CAD (cold agglutinin disease),"Anemia, Hemolytic, Autoimmune",EFO_1001264,NA,Original,Serious,"P,O,B",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL3707331,2015,Varubi,Rolapitant,ROLAPITANT,ENSG00000115353,NA,Original,Tesaro,Neurokinin 1 receptor antagonist,Other indication,Nausea and vomiting associated with chemotherapy,Chemotherapy-induced nausea and vomiting,EFO_0006911,NA,Original,Not serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL4297734,2019,Adakveo,Crizanlizumab,CRIZANLIZUMAB,ENSG00000174175,NA,Original,Novartis,P-selectin blocker,Other indication,Painful complications of SCD,sickle cell disease and related diseases,MONDO_0017146,NA,Original,Serious,"P,O,B",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL3545189,2018,Takhzyro,Lanadelumab,LANADELUMAB,ENSG00000164344,NA,Original,Dyax/Shire,Kallikrein antibody,Other indication,Hereditary angioedema,hereditary angioedema,MONDO_0019623,NA,Original,Serious,"P,O,B,F",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL462605,2019,Wakix,Pitolisant,PITOLISANT,ENSG00000101180,NA,Original,Harmony,H3-receptor antagonist/inverse agonist,Other indication,Excessive sleepiness due to narcolepsy,narcolepsy,MONDO_0021107,NA,Original,Serious,"P,O,F",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL298734,2020,Zokinvy,Lonafarnib,LONAFARNIB,"ENSG00000257365,ENSG00000168522",NA,Original,Eiger,Farnesyltransferase inhibitor,Other indication,HGPS,hutchinson-gilford progeria syndrome,MONDO_0008310,NA,Original,Serious,"P,O,B",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL231068,2015,Addyi,Flibanserin,FLIBANSERIN,"ENSG00000178394,ENSG00000102468,ENSG00000069696",NA,Original,Sprout,Serotonin receptor modulator,Other indication,Hypoactive sexual desire disorder,sexual dysfunction,EFO_0004714,"EFO_0008343,EFO_0008343",Original,Not serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL2135460,2022,Terlivaz,Terlipressin,Terlipressin,ENSG00000166148,NA,Original,Mallinckrodt,Vasopressin receptor agonist,Other indication,Kidney function in hepatorenal syndrome,Hepatorenal syndrome,MONDO_0001382,HP_0006554,Original,Serious,"P,O,F",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL2109334,2020,Uplizna,Inebilizumab,INEBILIZUMAB,ENSG00000177455,NA,Original,Viela Bio,CD19-directed mAb,Other indication,NMOSD,neuromyelitis optica,EFO_0004256,MONDO_0000568,Original,Serious,"S,O,B",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL493982,2014,Zontivity,Vorapaxar,VORAPAXAR,ENSG00000181104,NA,Original,Merck & Co.,Protease-activated receptor 1 antagonist,Other indication,Thrombotic cardiovascular events (after myocardial infarction or with peripheral arterial disease*),myocardial infarction; peripheral arterial disease,"EFO_0000612,EFO_0004265",NA,Original,Serious,"S,F",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL4297412,2021,Cytalux,Pafolacianine,Pafolacianine,ENSG00000110195,NA,Original,On Target Labs,Fluorescent FR imaging agent,Other indication,Ovarian cancer imaging,ovarian carcinoma,EFO_0001075,NA,Original,Serious,"P,O,F",FALSE,FALSE,FALSE,FALSE,FALSE
"CHEMBL1189679,CHEMBL3989917",2018,Akynzeo IV,"Palonosetron, fosnetupitant","PALONOSETRON,FOSNETUPITANT","ENSG00000166736,ENSG00000115353",NA,Original,Helsinn Group,5-HT3-receptor antagonist and NK1-receptor antagonist,Other indication,Chemotherapy-induced emesis,Chemotherapy-induced nausea and vomiting,EFO_0006911,NA,Original,Not serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL3039520,2019,Reyvow,Lasmiditan,LASMIDITAN,ENSG00000179097,NA,Original,Eli Lilly,Serotonin (5-HT) 1F receptor agonist,Other indication,Migraine with or without aura,migraine disorder,MONDO_0005277,NA,Original,Not serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL3545313,2020,Nexletol,Bempedoic acid,BEMPEDOICACID,ENSG00000131473,NA,Original,Esperion Therapeutics,ACL inhibitor,Other indication,HeFH or atherosclerotic cardiovascular disease,atherosclerosis; familial hypercholesterolemia,"EFO_0003914,EFO_0004911",NA,Original,Serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL4297741,2021,Zegalogue,Dasiglucagon,Dasiglucagon,ENSG00000215644,NA,Original,Zealand Pharma,Glucagon receptor agonist,Other indication,Serious hypoglycaemia,GCGR-related hyperglucagonemia,EFO_0001360,NA,Original,Serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL2105755,2017,Symproic,Naldemedine,NALDEMEDINE,ENSG00000112038,NA,Original,Shionogi,Opioid antagonist,Other indication,Opioid-induced constipation,Constipation,HP_0002019,NA,Original,Not serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL238804,2015,Uptravi,Selexipag,SELEXIPAG,ENSG00000160013,NA,Original,Actelion,Prostacyclin receptor agonist,Other indication,Pulmonary arterial hypertension,pulmonary arterial hypertension,EFO_0001361,EFO_0000537,Original,Serious,"S,O",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL306700,2021,Qelbree,Viloxazine,Viloxazine,ENSG00000103546,NA,Original,Supernus,SNRI,Other indication,ADHD,attention deficit hyperactivity disorder,EFO_0003888,NA,Original,Not serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL4297573,2018,Elzonris,Tagraxofusp,TAGRAXOFUSP,"ENSG00000167658,ENSG00000185291",NA,Original,Stemline Therapeutics,IL-3 and diphtheria toxin fusion protein,Oncology,Blastic plasmacytoid dendritic cell neoplasm,blastic plasmacytoid dendritic cell neoplasm,EFO_0010580,NA,Original,Serious,"P,O,B",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL3989915,2021,Korsuva,Difelikefalin,Difelikefalin,ENSG00000082556,NA,Original,Cara Therapeutics,kappa-Opioid receptor agonist,Other indication,Pruritus associated with CKD,chronic kidney disease,EFO_0003884,HP_0012594,Original,Serious,"P,B",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL4297666,2022,Omlonti,Omidenepag isopropyl,Omidenepagisopropyl,ENSG00000125384,NA,Original,Santen,Prostaglandin E2 receptor agonist,Other indication,Intraocular pressure in open-angle glaucoma or ocular hypertension,"ocular hypertension, open-angle glaucoma","EFO_1001069,EFO_0004190",NA,Original,Serious,S,FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL2110588,2014,Cerdelga,Eliglustat,ELIGLUSTAT,ENSG00000148154,NA,Original,Genzyme,Glucosylceramide-synthase inhibitor,Other indication,Gaucher's disease,Gaucher disease,MONDO_0018150,NA,Original,Serious,"P,O",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL4297779,2020,Oxlumo,Lumasiran,LUMASIRAN,ENSG00000101323,NA,Original,Alnylam,HAO1-directed siRNA,Other indication,Hyperoxaluria type 1,primary hyperoxaluria type 1,MONDO_0009823,NA,Original,Serious,"P,O,B",FALSE,FALSE,FALSE,FALSE,FALSE
CHEMBL2146883,2015,Cotellic,Cobimetinib,COBIMETINIB,"ENSG00000126934,ENSG00000169032","ENSG00000132155,ENSG00000157764,ENSG00000078061,ENSG00000100030,ENSG00000108953,ENSG00000102882,ENSG00000109971,ENSG00000137693,ENSG00000141068,ENSG00000142192,ENSG00000166913,ENSG00000172530",Original,Genentech,MEK inhibitor,Oncology,Melanoma with BRAFV600E/K mutations,melanoma,EFO_0000756,NA,Original,Serious,"P,O,F",TRUE,FALSE,FALSE,FALSE,TRUE
CHEMBL1096146,2021,Ponvory,Ponesimod,Ponesimod,ENSG00000170989,ENSG00000110848,Interactor,J&J,S1P receptor modulator,Other indication,Relapsing multiple sclerosis,multiple sclerosis,MONDO_0005301,NA,Original,Serious,S,TRUE,TRUE,FALSE,FALSE,FALSE
CHEMBL1983268,2019,Rozlytrek,Entrectinib,ENTRECTINIB,"ENSG00000148053,ENSG00000198400,ENSG00000140538,ENSG00000047936,ENSG00000171094","ENSG00000105976,ENSG00000146648,ENSG00000165731,ENSG00000171094,ENSG00000198400,ENSG00000081237,ENSG00000096384,ENSG00000111679,ENSG00000124181,ENSG00000127329,ENSG00000135333,ENSG00000140538,ENSG00000145675,ENSG00000162733,ENSG00000206503,ENSG00000160691,ENSG00000006125,ENSG00000071537,ENSG00000127947,ENSG00000134259,ENSG00000142192,ENSG00000149177",Original,Roche,"TRKA, TRKB, TRKC, ROS1 and ALK inhibitor",Oncology,NTRK fusion-positive solid tumours and ROS1-positive NSCLC,non-small cell lung carcinoma,EFO_0003060,NA,Original,Serious,"P,O,B,A",TRUE,FALSE,FALSE,FALSE,TRUE
CHEMBL4297774,2021,Rybrevant,Amivantamab,Amivantamab,"ENSG00000105976,ENSG00000146648","ENSG00000105976,ENSG00000141736,ENSG00000146648,ENSG00000157168,ENSG00000165731,ENSG00000178568,ENSG00000010671,ENSG00000039068,ENSG00000044115,ENSG00000065361,ENSG00000080824,ENSG00000081237,ENSG00000091831,ENSG00000092820,ENSG00000096384,ENSG00000096968,ENSG00000097007,ENSG00000101213,ENSG00000110395,ENSG00000111252,ENSG00000111679,ENSG00000113263,ENSG00000124181,ENSG00000127329,ENSG00000132155,ENSG00000133124,ENSG00000134853,ENSG00000135605,ENSG00000137193,ENSG00000138363,ENSG00000138698,ENSG00000140538,ENSG00000141968,ENSG00000142208,ENSG00000143294,ENSG00000143322,ENSG00000144554,ENSG00000145675,ENSG00000152894,ENSG00000153707,ENSG00000165025,ENSG00000168036,ENSG00000168610,ENSG00000179295,ENSG00000182511,ENSG00000182866,ENSG00000185338,ENSG00000185499,ENSG00000197122,ENSG00000198561,ENSG00000254087,ENSG00000160691,ENSG00000172757,ENSG00000177885,ENSG00000115904,ENSG00000044574,ENSG00000101336,ENSG00000110711,ENSG00000117450,ENSG00000126581,ENSG00000196154,ENSG00000136205,ENSG00000067182,ENSG00000115415,ENSG00000170581,ENSG00000000938,ENSG00000006125,ENSG00000007264,ENSG00000010017,ENSG00000011485,ENSG00000019991,ENSG00000033327,ENSG00000043462,ENSG00000050748,ENSG00000069869,ENSG00000070159,ENSG00000071051,ENSG00000071537,ENSG00000074966,ENSG00000087586,ENSG00000088930,ENSG00000092758,ENSG00000099942,ENSG00000100324,ENSG00000100351,ENSG00000100485,ENSG00000101182,ENSG00000102606,ENSG00000103266,ENSG00000105401,ENSG00000105647,ENSG00000107263,ENSG00000107295,ENSG00000107643,ENSG00000109458,ENSG00000109971,ENSG00000113070,ENSG00000113580,ENSG00000115145,ENSG00000115290,ENSG00000115325,ENSG00000117461,ENSG00000120694,ENSG00000123384,ENSG00000123908,ENSG00000124882,ENSG00000126561,ENSG00000127191,ENSG00000127824,ENSG00000127947,ENSG00000131746,ENSG00000134215,ENSG00000136235,ENSG00000137076,ENSG00000137267,ENSG00000137462,ENSG00000137486,ENSG00000138798,ENSG00000140575,ENSG00000140600,ENSG00000141480,ENSG00000141738,ENSG00000142192,ENSG00000142627,ENSG00000142949,ENSG00000144749,ENSG00000145715,ENSG00000146674,ENSG00000147010,ENSG00000149177,ENSG00000149269,ENSG00000149428,ENSG00000151834,ENSG00000154229,ENSG00000158092,ENSG00000158402,ENSG00000159352,ENSG00000160293,ENSG00000161203,ENSG00000166313,ENSG00000166598,ENSG00000167552,ENSG00000169045,ENSG00000169047,ENSG00000169139,ENSG00000169398,ENSG00000170312,ENSG00000171132,ENSG00000174437,ENSG00000174808,ENSG00000176105,ENSG00000178078,ENSG00000183020,ENSG00000184144,ENSG00000188191,ENSG00000189043,ENSG00000196961,ENSG00000197943,ENSG00000198399,ENSG00000198668,ENSG00000198753,ENSG00000213658,ENSG00000253729",Original,J&J,EGFRxMETR bispecific antibody,Oncology,EGFR exon 20-mutated NSCLC,non-small cell lung carcinoma,EFO_0003060,NA,Original,Serious,"P,B,A",TRUE,FALSE,FALSE,FALSE,TRUE
